"21999C",3.60,4.00,4.00,4.20,3.40,3.80,3.60,3.60,2.40,2.60,2.60,3.00,2.60,2.80,3.20,3.40,3.00,3.40,3.80,3.20,3.00,2.60,2.40,2.60,2.00,2.20,2.60,2.80,2.00,2.20,1.80,1.60,2.80,2.20,1.40,1.00,2.00,1.80,2.20,1.60,2.40,1.80,1.40,0.80,1.60,1.40,1.80,1.40,1.60,1.20,1.40,1.00,1.60,1.20,1.00,0.20,1.00,0.80,3.00,3.60,1.20,0.80,1.20,0.80,1.00,0.40,1.20,0.40,2.20,2.00,1.20,0.40,1.60,1.20,1.40,0.60,1.40,0.80,1.00,0.40,4.00,4.00,1.60,2.00,1.20,0.60,1.00,0.20,1.20,0.40,1.20,0.40,1.00,0.40,1.80,1.40,2.00,1.60,1.40,1.00,2.00,2.00,2.80,3.00
"21999D",3.20,4.00,3.60,4.60,3.60,4.40,3.40,4.40,2.00,2.80,2.00,2.60,2.40,3.00,2.80,3.20,2.80,3.00,3.00,2.80,2.00,2.20,2.40,2.80,2.60,3.20,2.00,2.20,1.80,2.60,2.20,2.40,2.60,2.80,2.20,2.20,1.80,2.40,2.20,2.60,2.20,2.20,1.40,1.40,1.80,1.60,2.00,1.40,1.00,1.00,1.20,1.20,1.60,1.60,1.00,0.40,2.20,1.60,2.40,1.40,1.40,1.00,1.60,1.40,1.40,1.40,1.00,1.00,2.00,1.80,1.20,0.60,1.40,1.60,1.20,0.80,1.40,1.40,1.00,1.00,3.00,3.20,2.00,2.40,1.20,1.20,1.00,0.40,1.20,0.80,1.40,1.00,1.00,0.60,1.40,1.80,1.80,1.80,1.40,1.20,2.60,2.00,3.80,2.60
"21999F",4.00,4.40,3.80,4.00,4.40,4.40,3.20,3.80,2.60,3.20,2.20,2.00,3.20,3.00,2.60,3.00,2.80,2.40,3.20,3.00,2.60,3.00,2.00,1.80,2.40,1.80,2.80,3.00,1.80,1.80,1.60,1.60,1.40,1.40,2.00,2.20,2.20,2.00,1.40,1.20,1.40,1.40,1.00,0.20,1.00,0.20,1.20,0.80,1.00,0.20,1.00,0.00,1.20,0.40,1.00,0.00,1.00,0.20,1.00,0.20,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.20,0.40,1.20,0.20,1.20,0.60,1.00,0.00,1.20,0.60,1.00,0.00,2.80,2.60,2.20,1.80,1.80,1.00,1.00,0.20,1.60,0.80,1.80,1.00,1.00,0.00,1.60,0.80,2.40,1.80,1.00,0.00,3.40,2.60,3.60,3.00
"21999G",3.40,4.40,3.80,4.60,3.00,4.80,3.60,5.00,2.40,3.80,2.60,2.80,2.40,3.00,3.00,3.60,3.00,3.20,3.20,3.20,1.80,2.00,2.40,3.00,2.60,3.20,2.00,2.40,2.00,2.60,1.80,2.40,2.80,2.80,1.80,1.60,1.80,2.60,2.60,3.00,2.40,2.20,1.40,1.40,1.80,2.00,1.80,1.60,1.20,1.60,1.20,1.20,1.60,1.80,1.00,0.60,2.00,1.60,2.40,2.20,1.20,0.80,1.20,0.80,1.00,0.80,1.00,0.80,2.00,1.80,1.20,0.80,1.60,1.60,1.20,0.60,1.40,1.20,1.00,0.80,2.60,2.80,1.80,2.20,1.20,1.00,1.00,0.40,1.00,0.60,1.00,0.60,1.00,0.60,1.80,1.60,2.20,1.80,1.60,1.60,2.00,2.40,3.20,2.60
"21911P",4.00,4.20,3.80,4.20,4.20,4.60,4.00,4.40,2.80,3.60,2.20,2.80,4.00,4.20,3.80,4.20,4.40,4.80,3.40,4.20,2.80,3.40,2.40,2.80,2.40,3.20,3.00,3.00,3.20,3.80,3.40,3.40,2.80,3.00,1.80,1.80,3.00,2.80,2.20,2.20,2.40,2.60,3.20,3.00,3.20,3.00,2.40,2.80,2.20,2.00,2.40,1.80,1.80,1.40,1.20,0.40,1.80,1.60,2.60,2.80,2.00,1.40,1.60,1.20,1.60,1.20,1.40,1.00,2.20,1.80,1.00,0.40,2.20,2.00,1.20,0.80,1.60,1.40,1.20,0.80,4.00,4.00,2.20,2.20,3.00,2.80,1.80,1.40,1.40,1.00,2.20,2.00,1.60,1.20,1.60,1.20,1.80,1.40,1.40,1.00,2.40,1.80,3.40,3.40
"21911R",3.80,4.20,4.20,4.20,4.20,4.60,4.20,4.60,2.80,3.20,2.60,3.60,4.60,4.60,4.00,4.20,3.60,4.20,3.60,3.80,3.00,3.20,3.00,3.00,3.60,3.20,3.60,3.40,3.20,3.40,3.60,3.60,3.60,3.20,2.40,2.20,2.00,2.20,2.00,2.20,2.60,2.60,3.00,2.80,3.00,2.80,2.40,2.40,2.20,2.40,2.00,1.80,1.80,1.20,1.60,1.00,1.80,1.20,3.20,3.40,1.40,1.40,2.00,2.00,1.60,1.60,1.80,1.20,2.40,2.20,1.80,1.40,2.40,2.20,1.40,0.80,2.40,2.00,1.80,1.40,3.60,3.80,2.60,2.40,2.60,2.40,1.60,1.00,1.80,1.20,1.60,1.40,1.60,1.20,1.40,1.20,1.80,1.40,1.40,1.00,2.40,2.20,3.80,3.40
"21911T",3.40,3.80,3.80,4.20,3.80,4.60,3.00,4.00,2.20,2.40,1.80,1.80,4.60,4.20,3.80,3.80,3.00,3.20,3.60,4.20,2.60,2.80,3.40,3.80,3.60,4.20,3.40,3.60,2.60,3.00,2.60,2.40,2.80,2.80,2.40,2.20,2.20,2.80,2.20,2.20,2.20,2.60,2.60,3.00,3.00,3.00,2.80,3.40,2.80,3.40,2.20,2.20,2.00,2.00,1.40,1.00,2.40,2.40,2.20,2.20,1.60,1.80,2.00,1.60,1.40,1.00,1.60,1.40,2.20,1.60,1.60,1.20,2.00,2.00,1.20,1.00,2.00,2.00,1.40,1.00,3.40,3.40,1.80,1.40,2.00,1.60,1.40,1.00,1.20,1.00,1.80,1.60,1.00,0.60,1.80,1.60,1.80,1.80,1.20,1.00,1.80,1.60,2.80,2.60
"21914",4.00,4.00,4.40,4.60,4.00,4.40,3.20,3.40,2.40,2.40,1.60,1.80,3.60,3.60,3.80,4.00,2.40,2.60,3.00,3.20,1.40,1.60,4.20,4.20,4.40,4.60,1.80,1.80,1.40,0.80,1.60,1.00,1.40,1.00,1.20,0.20,1.60,1.20,2.60,1.60,2.20,1.80,1.20,0.40,1.20,0.40,1.80,0.80,1.20,0.20,1.00,0.00,1.40,0.60,1.20,0.20,1.00,0.00,2.00,2.20,1.20,0.20,1.20,0.20,1.00,0.00,1.00,0.00,2.00,1.40,1.20,0.40,1.20,0.60,1.00,0.00,1.20,0.20,1.00,0.00,3.40,3.60,1.00,0.20,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.60,1.00,1.60,1.40,1.20,0.20,2.20,2.80,3.20,2.80
"21917",3.20,3.20,3.60,3.80,3.20,3.40,4.20,4.00,1.40,1.60,1.00,0.40,3.20,3.20,3.00,2.80,3.40,3.60,1.60,1.60,3.20,2.80,4.00,3.80,4.40,3.60,1.40,1.00,1.60,0.80,1.80,1.40,1.20,0.40,2.00,1.00,2.00,2.40,2.00,2.00,1.60,1.80,1.00,0.40,1.00,0.00,1.20,0.40,1.20,0.40,1.00,0.20,1.00,0.20,1.00,0.00,1.20,0.20,1.40,0.60,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.40,0.80,1.40,0.40,1.20,0.40,1.00,0.00,1.00,0.40,1.60,1.20,3.00,3.00,2.00,2.00,1.60,0.80,1.20,0.40,1.20,0.80,1.60,0.80,1.40,0.60,1.00,0.00,1.20,0.40,1.00,0.00,1.40,0.60,3.00,2.60
"21921",3.40,4.00,4.00,4.00,3.20,3.80,3.40,3.20,1.40,1.80,1.20,0.80,3.60,3.00,3.00,3.00,2.00,2.40,2.00,2.00,1.00,0.40,3.80,3.00,3.60,4.00,1.20,0.40,1.20,0.60,1.20,0.20,1.60,0.40,1.20,0.40,1.20,0.40,1.80,2.00,1.40,1.60,1.20,0.40,1.20,0.40,1.40,0.60,1.00,0.00,1.20,0.40,1.00,0.00,1.20,0.40,1.20,0.60,1.60,1.80,1.00,0.00,1.20,0.20,1.00,0.00,1.00,0.00,1.80,1.40,1.00,0.00,1.40,0.40,1.00,0.00,1.20,0.20,1.00,0.00,2.80,3.00,1.20,0.80,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.40,0.80,1.40,0.80,1.20,1.40,1.00,0.00,1.80,1.80,2.60,2.60
