"13002A",4.66,5.33,2.00,2.50,5.00,6.33,2.33,2.33,2.00,2.00,2.16,2.66,1.50,1.16,1.00,0.16,2.16,2.50,1.00,0.33,1.00,0.00,1.00,0.16,1.00,0.50,4.50,5.00,1.00,0.16,1.00,0.00,1.00,0.00,2.66,2.33,1.50,1.33,1.16,0.83,1.00,0.16,1.50,0.83,2.33,2.33,4.16,4.16,1.00,0.16,1.00,0.00,1.66,1.83,1.66,1.16,2.00,1.33,4.33,4.33,1.83,1.00,2.66,2.50,1.16,1.00
"13002B",4.66,5.00,2.16,2.66,4.83,5.83,1.83,2.00,2.00,2.16,3.00,2.83,1.16,0.33,1.00,0.00,2.33,2.66,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.50,4.50,4.50,1.00,0.16,1.00,0.16,1.00,0.00,2.66,2.83,1.50,1.00,1.16,1.16,1.16,0.50,1.16,0.50,2.33,2.16,3.66,3.50,1.00,0.50,1.00,0.00,1.16,1.16,1.00,0.33,2.33,1.66,3.50,4.16,2.00,1.00,2.50,2.16,1.16,0.50
"13005A",4.83,4.50,2.33,2.16,2.66,2.33,1.00,0.00,1.66,0.83,5.00,6.16,1.00,0.00,1.00,0.00,2.50,2.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,4.33,4.16,1.00,0.00,1.00,0.00,1.00,0.00,3.16,3.33,1.66,1.16,1.00,0.00,1.00,0.00,1.16,0.50,3.66,4.33,3.83,3.83,1.00,0.33,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.50,3.16,2.33,0.66,2.33,1.66,1.00,0.00
"13005B",4.33,4.00,1.33,1.00,2.50,2.00,1.33,0.33,1.00,0.00,3.33,3.00,1.00,0.00,1.00,0.00,1.50,1.33,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.50,2.00,1.00,0.00,1.00,0.00,1.00,0.00,2.66,2.50,1.50,0.66,1.00,0.00,1.00,0.00,1.00,0.00,4.33,5.00,3.16,2.83,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.33,0.33,2.66,2.33,1.50,0.83,2.50,2.16,1.00,0.00
"13005C",4.50,4.33,2.00,1.33,2.00,1.33,1.33,0.66,1.33,0.50,5.00,5.33,1.00,0.00,1.00,0.00,1.83,1.66,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,4.16,4.16,1.00,0.00,1.00,0.00,1.00,0.00,2.33,1.83,1.50,0.66,1.16,0.33,1.00,0.00,1.16,0.50,1.50,1.00,3.83,3.83,1.00,0.16,1.00,0.00,1.00,0.00,1.00,0.00,1.33,1.00,2.83,2.50,1.66,0.66,1.66,0.83,1.00,0.00
"13005E",4.00,3.66,2.33,1.66,1.00,0.16,2.33,2.16,3.33,3.83,3.50,3.00,1.00,0.00,1.00,0.00,1.83,1.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.16,1.66,1.00,0.00,1.16,0.50,1.50,0.50,4.33,4.50,2.16,1.83,1.00,0.00,1.50,0.83,4.66,4.00,3.50,3.33,3.50,3.16,1.16,0.33,1.00,0.00,1.00,0.00,1.16,0.50,1.16,0.33,1.83,1.83,2.16,0.83,3.00,2.16,1.00,0.00
"13008",4.20,4.40,2.40,2.00,3.80,3.80,3.00,3.20,2.00,1.80,2.20,2.40,2.80,3.00,1.00,0.00,2.00,2.00,1.40,0.60,1.00,0.00,1.00,0.00,1.00,0.40,3.80,3.80,1.00,0.40,1.00,0.40,1.00,0.00,1.80,1.80,1.80,1.60,1.60,0.80,1.00,0.00,1.00,0.00,1.40,1.00,2.80,3.00,1.20,0.60,1.00,0.00,1.00,0.00,1.20,0.40,1.20,0.40,1.60,1.40,2.20,0.80,2.40,2.00,2.00,1.60
"13011A",4.83,5.00,1.50,1.50,3.16,3.66,5.00,6.16,4.16,4.66,2.50,2.66,1.66,1.83,1.00,0.33,3.00,2.83,1.16,0.83,2.33,2.33,1.33,0.83,1.16,0.83,3.33,4.16,1.00,0.33,1.00,0.16,1.00,0.16,3.16,3.33,2.33,2.33,2.16,2.16,1.00,0.16,1.33,0.83,3.50,3.66,4.00,4.16,2.00,2.00,3.16,3.33,1.50,1.00,1.66,1.16,2.66,2.83,2.50,2.33,2.16,2.16,4.66,5.50,1.50,0.83
"13011B",5.00,4.83,2.83,3.66,3.50,4.16,4.83,5.66,4.50,5.00,3.66,4.00,1.66,1.50,1.00,0.16,1.83,2.16,1.33,1.33,1.16,0.66,1.00,0.33,1.16,0.83,3.83,4.33,1.00,0.16,1.00,0.33,1.00,0.33,2.66,3.00,1.83,1.66,2.33,3.00,1.00,0.16,1.33,0.66,3.00,3.83,4.00,3.33,2.50,2.50,1.00,0.16,1.33,1.00,1.50,0.83,2.83,3.66,2.83,3.00,2.00,1.33,3.16,2.83,2.33,2.50
"13011C",4.66,4.66,1.66,1.83,4.00,4.50,5.00,6.50,3.66,4.00,2.16,2.33,2.33,2.33,1.16,0.66,2.16,2.16,1.33,0.83,1.66,1.66,1.00,0.33,1.00,0.33,4.33,4.00,1.00,0.33,1.00,0.16,1.00,0.33,3.00,3.00,3.33,3.33,3.66,4.66,1.00,0.16,1.33,0.66,2.83,2.83,4.16,4.50,3.00,3.16,3.00,3.00,1.83,1.83,2.33,1.66,1.50,0.66,3.50,4.16,2.16,1.66,4.33,5.33,2.33,2.16
"13011D",4.83,4.50,2.33,2.33,3.83,4.00,4.83,5.00,2.00,1.66,2.16,1.66,1.16,0.50,1.00,0.00,2.00,2.16,1.00,0.16,1.00,0.33,1.00,0.00,1.00,0.33,3.50,3.00,1.00,0.16,1.00,0.16,1.16,0.50,3.00,3.16,2.16,1.83,2.16,2.16,1.16,0.66,1.16,0.50,1.83,1.83,3.50,3.50,1.83,1.66,1.66,1.50,1.16,0.83,1.50,1.33,1.33,0.83,2.16,2.50,2.50,2.00,3.66,4.83,1.16,0.50
"13014A",4.16,4.00,1.50,1.66,3.16,3.16,3.66,4.33,2.00,2.00,1.50,0.83,2.33,2.50,1.00,0.00,1.66,1.33,1.33,0.66,1.16,0.83,1.33,0.33,1.50,1.16,4.00,3.33,1.16,0.66,1.16,0.50,1.00,0.33,2.00,1.66,1.50,1.00,1.66,1.16,1.16,0.50,1.16,0.33,1.83,1.33,3.50,2.83,1.00,0.33,1.00,0.00,1.00,0.33,1.00,0.33,1.83,1.50,2.83,3.16,1.66,1.16,2.33,1.83,2.33,1.83
"13014B",4.83,4.50,3.83,4.50,4.16,4.16,1.66,1.00,1.50,1.00,4.16,3.83,1.50,1.00,1.00,0.00,2.50,2.66,1.00,0.16,1.00,0.50,1.00,0.00,1.50,0.83,3.50,3.50,1.00,0.16,1.00,0.33,1.00,0.33,3.00,3.50,1.50,1.16,1.16,0.66,1.16,0.50,1.16,0.83,3.16,2.83,4.16,3.50,1.00,0.16,1.00,0.00,1.00,0.66,1.16,0.33,1.66,1.33,2.16,2.00,2.16,1.66,3.00,2.16,1.00,0.16
