"43021",2.20,5.20,0.00,2.80,4.20,0.00,3.40,0.40,0.20,0.00,1.20,1.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,1.00,0.00,0.60,0.20,0.20,2.00,0.60,1.00,0.00,0.00,0.00,4.20,2.20,2.00,4.40,4.20,1.60,1.00,0.00,4.00,0.00
"43023A",3.80,4.60,0.20,4.00,2.00,0.20,3.20,1.80,0.00,1.00,0.80,1.00,0.00,0.80,0.60,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.20,2.00,0.60,0.20,1.40,0.60,0.60,0.00,0.20,0.00,3.40,2.60,1.20,3.40,3.40,2.00,0.60,0.00,2.00,2.60
"43023B",3.80,6.00,0.20,4.80,3.20,0.00,3.80,0.60,0.00,0.00,0.60,1.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,1.80,0.00,1.00,0.40,0.20,1.60,0.80,0.80,0.00,0.00,0.00,3.40,2.20,1.20,3.40,3.80,1.40,0.60,0.00,3.40,1.00
"43099A",3.60,5.60,0.60,5.00,3.40,0.20,4.00,1.20,0.40,1.00,0.60,2.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.40,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.60,0.80,2.60,2.40,0.00,1.20,0.40,0.00,0.80,0.60,0.20,0.60,0.20,0.00,2.20,3.60,1.20,2.40,2.20,2.40,0.80,0.20,3.00,1.00
"43099B",4.80,6.20,2.80,4.40,2.00,0.80,3.80,3.40,1.40,2.00,0.60,1.40,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.60,2.60,2.20,0.00,1.40,0.40,0.20,0.80,0.60,0.20,0.40,0.20,0.00,3.00,3.25,1.00,2.40,3.20,2.60,0.60,0.20,3.40,1.20
"49002",4.16,6.00,3.33,5.00,4.50,1.00,4.33,3.16,1.00,1.50,1.16,1.50,0.16,1.16,0.50,0.83,0.83,0.66,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.16,0.16,0.33,0.50,0.66,1.00,0.50,0.83,1.00,0.50,0.66,0.83,2.66,2.16,0.16,2.00,1.16,0.33,2.33,1.16,0.83,0.00,0.83,0.00,4.16,3.66,4.16,3.83,4.00,1.66,0.33,0.83,3.67,0.67
"49005A",3.60,6.20,0.20,4.80,3.40,0.20,4.40,0.60,0.60,0.20,1.00,1.40,0.00,0.80,0.80,0.20,1.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,1.00,1.60,1.80,0.40,0.60,1.00,2.20,2.60,0.20,1.40,0.60,0.20,2.40,0.60,0.60,0.00,0.20,0.00,3.40,2.60,1.00,3.00,3.20,2.00,0.80,0.00,2.60,2.00
"49005B",3.20,5.60,0.80,4.80,3.40,0.20,4.60,0.00,0.80,1.20,0.40,1.40,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.40,0.20,0.40,2.80,2.40,0.00,1.40,0.60,0.00,1.20,1.00,0.20,0.20,0.40,0.00,3.40,3.00,1.75,2.40,2.40,1.80,0.60,0.80,3.00,1.20
"31511B",3.20,5.20,3.60,3.00,2.20,0.80,3.20,4.20,2.40,5.20,1.00,0.80,0.20,0.20,0.20,0.20,0.40,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.20,1.80,1.00,0.40,1.20,1.00,1.00,0.40,0.20,0.00,3.80,2.80,1.60,4.40,4.00,1.40,1.00,0.40,4.00,0.60
"31511C",4.00,4.20,2.00,2.60,1.60,1.40,1.40,1.60,0.80,2.40,1.20,0.20,0.00,0.20,0.20,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,1.80,0.20,1.80,0.80,0.20,1.60,0.40,0.60,0.40,0.40,0.00,2.25,2.20,1.75,4.20,3.80,2.20,0.60,0.20,3.80,0.80
