"13002A",3.93,3.75,3.71,3.08,3.41,3.62,4.12,3.75,4.25,3.75,4.50,4.00,3.75,3.50,3.50,2.62,3.50,3.37,3.62,3.75,2.25,3.25,3.50,2.75,3.62,4.50,3.75
"13002B",3.87,3.58,3.75,3.20,3.37,3.66,4.00,3.75,4.00,3.37,4.62,4.00,3.62,3.50,3.25,2.50,3.37,3.62,3.87,3.75,2.75,3.37,3.50,2.62,3.37,4.25,3.87
"13005A",3.93,3.64,3.40,3.41,3.16,3.87,4.25,3.62,4.00,3.00,4.12,3.87,3.25,3.25,3.50,2.50,3.12,3.12,4.00,4.00,3.87,3.37,3.25,2.37,3.62,4.50,4.12
"13005B",3.75,3.27,3.43,3.70,3.33,3.50,3.62,3.87,3.62,3.12,4.25,3.75,3.12,3.87,3.50,2.25,3.50,3.12,3.50,3.25,3.75,3.25,3.75,2.50,3.37,4.00,3.50
"13005C",3.56,3.08,3.09,3.50,3.25,3.37,3.62,3.50,3.12,2.87,3.87,3.75,3.25,3.62,3.37,2.25,3.00,2.75,3.25,3.00,3.87,2.87,3.62,2.37,2.87,4.00,3.50
"13005E",3.87,3.20,3.15,3.75,2.95,3.41,3.75,4.00,3.12,2.37,3.37,3.50,3.25,3.50,3.62,1.87,3.50,3.12,2.87,3.37,4.25,3.75,3.12,2.25,3.75,3.87,3.75
"13008",3.25,3.41,3.18,3.00,3.20,3.33,3.37,3.12,4.00,3.25,3.62,3.75,3.37,3.50,3.00,2.50,3.37,2.75,3.50,3.37,2.12,3.12,3.25,2.62,3.25,4.00,3.50
"13011A",4.00,3.54,3.50,2.79,3.00,3.79,4.00,4.00,3.75,3.25,4.00,3.75,3.87,3.50,4.25,2.37,2.87,3.37,3.37,3.37,2.00,3.37,3.00,2.25,3.50,4.37,3.75
"13011B",3.43,3.52,3.62,3.20,3.08,3.70,3.50,3.37,4.00,3.62,4.12,3.62,4.12,3.62,3.75,2.37,3.25,3.50,3.50,3.50,2.75,3.25,3.12,2.50,3.25,3.87,3.87
"13011C",4.00,3.52,3.53,3.20,3.04,3.87,4.12,3.87,3.75,3.25,3.62,3.62,3.75,3.75,4.12,2.25,3.25,3.75,3.50,3.37,2.62,3.50,3.25,2.25,3.62,4.37,4.00
"13011D",4.31,3.29,3.37,3.58,2.79,3.87,4.00,4.62,3.75,2.87,3.62,3.25,3.12,4.12,4.12,2.75,3.25,3.25,3.75,3.12,3.37,3.75,3.12,2.00,3.12,3.87,3.75
"13014A",3.43,3.31,3.00,3.20,3.29,3.50,3.62,3.25,3.50,3.00,3.37,3.62,3.25,3.50,3.00,2.75,3.50,2.62,3.87,3.62,2.62,3.00,3.50,2.75,3.00,3.75,3.62
"13014B",3.18,3.37,3.43,3.08,3.20,3.62,3.25,3.12,3.62,3.37,4.00,3.87,3.37,3.50,3.25,2.37,3.12,3.12,3.87,3.75,2.62,3.25,3.37,2.37,3.12,4.00,3.75
"13017A",3.93,3.70,3.65,3.16,2.91,3.95,4.00,3.87,3.87,3.37,4.12,4.00,4.25,3.62,3.75,2.75,3.50,3.50,3.87,3.87,2.37,3.62,2.75,2.00,3.50,4.00,4.25
"13017B",3.75,3.50,3.37,3.16,2.87,3.91,3.87,3.62,3.62,3.00,3.87,3.75,3.37,3.75,3.75,2.75,3.25,3.12,4.00,3.62,2.50,3.50,2.87,2.00,3.50,4.12,4.00
"13017C",3.75,3.62,3.59,3.45,3.04,3.83,4.00,3.50,3.75,3.50,4.12,3.75,3.87,3.75,3.62,2.75,3.50,3.25,4.00,4.00,3.12,3.50,3.25,2.12,3.25,4.12,3.87
