	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
afqt_std		0.201***	0.201***	0.183***	0.124***	0.183***	0.123***
		[0.005]	[0.005]	[0.005]	[0.006]	[0.005]	[0.006]
soc_nlsy_std	0.098***	0.045***	0.044***	0.039***	0.024***	0.039***	0.024***
	[0.004]	[0.004]	[0.004]	[0.004]	[0.004]	[0.004]	[0.004]
afqt_socnlsy			0.013***	0.014***	0.006	0.013***	0.006
			[0.004]	[0.004]	[0.004]	[0.004]	[0.004]
noncog_std				0.049***	0.041***	0.049***	0.041***
				[0.004]	[0.004]	[0.004]	[0.004]
_Ieduc_1					-0.055		-0.057
					[0.138]		[0.137]
_Ieduc_3					0.062		0.061
					[0.165]		[0.164]
_Ieduc_4					0.263		0.261
					[0.197]		[0.195]
_Ieduc_5					0.022		0.022
					[0.155]		[0.153]
_Ieduc_6					0.169		0.168
					[0.156]		[0.155]
_Ieduc_7					0.154		0.152
					[0.145]		[0.144]
_Ieduc_8					0.236*		0.234*
					[0.141]		[0.140]
_Ieduc_9					0.194		0.191
					[0.140]		[0.139]
_Ieduc_10					0.185		0.182
					[0.140]		[0.139]
_Ieduc_11					0.194		0.191
					[0.140]		[0.139]
_Ieduc_12					0.264*		0.261*
					[0.139]		[0.137]
_Ieduc_13					0.317**		0.314**
					[0.139]		[0.138]
_Ieduc_14					0.351**		0.348**
					[0.139]		[0.138]
_Ieduc_15					0.351**		0.348**
					[0.140]		[0.138]
_Ieduc_16					0.508***		0.505***
					[0.139]		[0.138]
_Ieduc_17					0.474***		0.471***
					[0.141]		[0.139]
_Ieduc_18					0.534***		0.532***
					[0.141]		[0.139]
_Ieduc_19					0.568***		0.566***
					[0.145]		[0.143]
_Ieduc_20					0.525***		0.523***
					[0.143]		[0.142]
female	-0.301***	-0.312***	-0.311***	-0.305***	-0.316***	-0.305***	-0.316***
