	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
afqt_std		0.211***	0.211***	0.192***	0.128***	0.192***	0.128***
		[0.005]	[0.005]	[0.005]	[0.006]	[0.005]	[0.006]
soc_nlsy_std	0.103***	0.047***	0.045***	0.041***	0.025***	0.041***	0.025***
	[0.005]	[0.004]	[0.004]	[0.005]	[0.005]	[0.005]	[0.005]
afqt_socnlsy			0.014***	0.014***	0.007	0.013***	0.007
			[0.004]	[0.004]	[0.004]	[0.005]	[0.005]
noncog_std				0.050***	0.041***	0.049***	0.041***
				[0.005]	[0.005]	[0.005]	[0.005]
_Ieduc_1					-0.089		-0.090
					[0.139]		[0.138]
_Ieduc_3					0.036		0.036
					[0.164]		[0.163]
_Ieduc_4					0.262		0.261
					[0.202]		[0.201]
_Ieduc_5					-0.003		-0.003
					[0.157]		[0.156]
_Ieduc_6					0.150		0.150
					[0.160]		[0.159]
_Ieduc_7					0.124		0.124
					[0.147]		[0.146]
_Ieduc_8					0.217		0.216
					[0.142]		[0.141]
_Ieduc_9					0.170		0.169
					[0.141]		[0.140]
_Ieduc_10					0.159		0.158
					[0.141]		[0.140]
_Ieduc_11					0.174		0.173
					[0.141]		[0.140]
_Ieduc_12					0.244*		0.243*
					[0.139]		[0.138]
_Ieduc_13					0.301**		0.299**
					[0.140]		[0.139]
_Ieduc_14					0.339**		0.337**
					[0.140]		[0.139]
_Ieduc_15					0.340**		0.339**
					[0.140]		[0.140]
_Ieduc_16					0.504***		0.503***
					[0.140]		[0.139]
_Ieduc_17					0.472***		0.471***
					[0.141]		[0.140]
_Ieduc_18					0.529***		0.528***
					[0.141]		[0.141]
_Ieduc_19					0.573***		0.572***
					[0.145]		[0.145]
_Ieduc_20					0.516***		0.515***
					[0.144]		[0.143]
female	-0.313***	-0.321***	-0.320***	-0.313***	-0.324***	-0.313***	-0.324***
