	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
afqt_std		0.194***	0.194***	0.176***	0.114***	0.176***	0.114***
		[0.006]	[0.006]	[0.007]	[0.008]	[0.007]	[0.008]
soc_nlsy_std	0.106***	0.057***	0.049***	0.045***	0.032***	0.046***	0.032***
	[0.006]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
afqt_socnlsy			0.020***	0.021***	0.013**	0.019***	0.012**
			[0.005]	[0.005]	[0.005]	[0.005]	[0.005]
noncog_std				0.047***	0.039***	0.044***	0.038***
				[0.006]	[0.006]	[0.006]	[0.006]
_Ieduc_1					-0.035		-0.033
					[0.140]		[0.141]
_Ieduc_3					0.040		0.041
					[0.162]		[0.163]
_Ieduc_4					0.257		0.259
					[0.203]		[0.204]
_Ieduc_5					-0.000		0.001
					[0.167]		[0.169]
_Ieduc_6					0.245		0.246
					[0.161]		[0.162]
_Ieduc_7					0.099		0.101
					[0.153]		[0.155]
_Ieduc_8					0.288**		0.290**
					[0.144]		[0.146]
_Ieduc_9					0.214		0.216
					[0.142]		[0.143]
_Ieduc_10					0.226		0.228
					[0.142]		[0.143]
_Ieduc_11					0.211		0.214
					[0.142]		[0.143]
_Ieduc_12					0.288**		0.291**
					[0.139]		[0.141]
_Ieduc_13					0.354**		0.357**
					[0.140]		[0.142]
_Ieduc_14					0.377***		0.380***
					[0.140]		[0.142]
_Ieduc_15					0.359**		0.362**
					[0.141]		[0.143]
_Ieduc_16					0.526***		0.528***
					[0.140]		[0.142]
_Ieduc_17					0.481***		0.484***
					[0.142]		[0.144]
_Ieduc_18					0.573***		0.576***
					[0.142]		[0.144]
_Ieduc_19					0.592***		0.594***
					[0.148]		[0.149]
_Ieduc_20					0.555***		0.557***
					[0.147]		[0.148]
female	-0.312***	-0.320***	-0.319***	-0.314***	-0.323***	-0.313***	-0.323***
