	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
afqt_std		0.202***	0.202***	0.184***	0.117***	0.185***	0.118***
		[0.007]	[0.007]	[0.007]	[0.008]	[0.007]	[0.008]
soc_nlsy_std	0.110***	0.059***	0.051***	0.047***	0.032***	0.048***	0.033***
	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]	[0.006]
afqt_socnlsy			0.022***	0.023***	0.013**	0.020***	0.013**
			[0.006]	[0.006]	[0.006]	[0.006]	[0.006]
noncog_std				0.047***	0.038***	0.043***	0.037***
				[0.006]	[0.006]	[0.006]	[0.006]
_Ieduc_1					-0.071		-0.068
					[0.139]		[0.142]
_Ieduc_3					0.016		0.018
					[0.160]		[0.162]
_Ieduc_4					0.256		0.259
					[0.207]		[0.209]
_Ieduc_5					-0.022		-0.021
					[0.165]		[0.168]
_Ieduc_6					0.221		0.222
					[0.164]		[0.166]
_Ieduc_7					0.072		0.074
					[0.155]		[0.157]
_Ieduc_8					0.277*		0.281*
					[0.145]		[0.147]
_Ieduc_9					0.190		0.193
					[0.142]		[0.144]
_Ieduc_10					0.206		0.210
					[0.142]		[0.144]
_Ieduc_11					0.187		0.191
					[0.142]		[0.144]
_Ieduc_12					0.271*		0.276*
					[0.139]		[0.142]
_Ieduc_13					0.344**		0.348**
					[0.140]		[0.143]
_Ieduc_14					0.370***		0.374***
					[0.140]		[0.142]
_Ieduc_15					0.355**		0.359**
					[0.142]		[0.144]
_Ieduc_16					0.528***		0.532***
					[0.140]		[0.143]
_Ieduc_17					0.482***		0.486***
					[0.142]		[0.144]
_Ieduc_18					0.574***		0.578***
					[0.142]		[0.145]
_Ieduc_19					0.601***		0.605***
					[0.148]		[0.151]
_Ieduc_20					0.553***		0.556***
					[0.148]		[0.150]
female	-0.323***	-0.328***	-0.327***	-0.322***	-0.332***	-0.321***	-0.332***
