	(1)	(2)	(3)	(4)
VARIABLES	routine	routine	socskills	socskills
				
afqt_std	-0.094***	0.143***	0.359***	-0.048***
	[0.024]	[0.026]	[0.021]	[0.015]
soc_nlsy_std	-0.170***	-0.130***	0.169***	0.096***
	[0.018]	[0.020]	[0.016]	[0.011]
afqt_socnlsy	-0.074***	-0.079***	0.036**	0.033***
	[0.017]	[0.019]	[0.015]	[0.011]
_Ieduc_1	-0.051	0.929	0.328	-1.010
	[1.487]	[2.370]	[0.957]	[1.154]
_Ieduc_3	0.416	0.338	0.106	-0.037
	[1.518]	[2.518]	[0.984]	[1.245]
_Ieduc_4	-0.682	-0.203	1.182	0.153
	[1.561]	[2.448]	[1.298]	[1.232]
_Ieduc_5	0.472	1.556	-0.189	-0.779
	[1.547]	[2.444]	[0.977]	[1.183]
_Ieduc_6	-0.169	-0.089	0.446	-0.082
	[1.498]	[2.388]	[0.974]	[1.170]
_Ieduc_7	-0.469	-0.397	0.431	0.108
	[1.496]	[2.382]	[0.969]	[1.161]
_Ieduc_8	-0.462	-0.408	0.560	0.177
	[1.489]	[2.375]	[0.959]	[1.156]
_Ieduc_9	-0.193	-0.140	0.310	0.169
	[1.488]	[2.373]	[0.956]	[1.155]
_Ieduc_10	-0.345	-0.508	0.340	0.275
	[1.488]	[2.372]	[0.958]	[1.155]
_Ieduc_11	-0.250	-0.347	0.481	0.225
	[1.488]	[2.372]	[0.957]	[1.155]
_Ieduc_12	-0.357	-0.241	0.654	0.211
	[1.486]	[2.370]	[0.954]	[1.154]
_Ieduc_13	-0.541	-0.320	0.990	0.286
	[1.487]	[2.371]	[0.955]	[1.154]
_Ieduc_14	-0.384	-0.083	1.121	0.257
	[1.487]	[2.371]	[0.955]	[1.154]
_Ieduc_15	-0.564	-0.205	1.358	0.278
	[1.488]	[2.372]	[0.957]	[1.155]
_Ieduc_16	-1.058	-0.349	2.124**	0.301
	[1.487]	[2.371]	[0.956]	[1.154]
_Ieduc_17	-1.148	-0.514	2.155**	0.258
	[1.491]	[2.373]	[0.959]	[1.156]
_Ieduc_18	-1.209	-0.420	2.478***	0.424
	[1.490]	[2.373]	[0.958]	[1.155]
_Ieduc_19	-1.446	-0.165	2.591***	0.258
	[1.497]	[2.376]	[0.963]	[1.157]
_Ieduc_20	-1.198	-0.187	2.255**	0.010
	[1.492]	[2.374]	[0.959]	[1.156]
female	0.581***	0.087*	-0.155***	0.096***
	[0.048]	[0.050]	[0.042]	[0.029]
hisp_male	0.107*	0.261***	-0.083	-0.123***
	[0.062]	[0.068]	[0.063]	[0.043]
hisp_female	0.059	0.229***	0.158***	-0.090**
	[0.074]	[0.079]	[0.058]	[0.043]
black_male	0.359***	0.322***	-0.444***	-0.069*
	[0.055]	[0.061]	[0.053]	[0.037]
black_female	0.104*	0.182***	-0.139***	-0.023
	[0.062]	[0.070]	[0.050]	[0.039]
o._Iage_15	-	-	-	-
				
o._Iage_16	-	-	-	-
				
o._Iage_17	-	-	-	-
				
o._Iage_18	-	-	-	-
				
o._Iage_19	-	-	-	-
				
o._Iage_20	-	-	-	-
				
o._Iage_21	-	-	-	-
				
o._Iage_22	-	-	-	-
				
_Iage_23	0.184	0.130	-0.335	-0.259
	[0.317]	[0.325]	[0.265]	[0.192]
_Iage_24	0.150	0.163	-0.260	-0.272
	[0.316]	[0.322]	[0.263]	[0.190]
_Iage_25	0.128	0.192	-0.239	-0.295
	[0.314]	[0.319]	[0.261]	[0.188]
_Iage_26	0.069	0.160	-0.189	-0.290
	[0.312]	[0.316]	[0.259]	[0.187]
_Iage_27	0.031	0.196	-0.104	-0.288
	[0.309]	[0.313]	[0.257]	[0.185]
_Iage_28	0.008	0.199	-0.074	-0.299
	[0.306]	[0.310]	[0.254]	[0.183]
_Iage_29	-0.111	0.091	-0.019	-0.253
	[0.304]	[0.306]	[0.252]	[0.181]
_Iage_30	-0.059	0.115	-0.032	-0.274
	[0.301]	[0.303]	[0.249]	[0.180]
_Iage_31	-0.100	0.093	0.003	-0.254
	[0.297]	[0.298]	[0.245]	[0.178]
_Iage_32	-0.134	0.086	0.049	-0.224
	[0.294]	[0.295]	[0.242]	[0.175]
_Iage_33	-0.142	0.104	0.052	-0.253
	[0.290]	[0.290]	[0.237]	[0.172]
_Iage_34	-0.111	0.131	0.082	-0.235
	[0.286]	[0.286]	[0.234]	[0.170]
_Iage_35	-0.148	0.052	0.053	-0.218
	[0.281]	[0.281]	[0.229]	[0.167]
_Iage_36	-0.161	0.079	0.080	-0.209
	[0.278]	[0.278]	[0.227]	[0.166]
_Iage_37	-0.120	0.032	0.004	-0.228
	[0.273]	[0.273]	[0.222]	[0.161]
_Iage_38	-0.182	0.024	0.098	-0.196
	[0.272]	[0.272]	[0.221]	[0.162]
_Iage_39	-0.130	0.012	0.038	-0.236
	[0.263]	[0.264]	[0.212]	[0.157]
_Iage_40	-0.139	0.034	0.099	-0.172
	[0.264]	[0.264]	[0.213]	[0.157]
_Iage_41	-0.164	-0.053	0.090	-0.175
	[0.254]	[0.255]	[0.205]	[0.151]
_Iage_42	-0.165	0.001	0.088	-0.197
	[0.255]	[0.256]	[0.205]	[0.152]
_Iage_43	-0.091	0.041	0.119	-0.167
	[0.247]	[0.249]	[0.200]	[0.149]
_Iage_44	-0.210	-0.015	0.189	-0.135
	[0.252]	[0.253]	[0.203]	[0.150]
_Iage_45	-0.138	0.005	0.208	-0.123
	[0.240]	[0.242]	[0.195]	[0.144]
_Iage_46	-0.174	0.013	0.213	-0.089
	[0.252]	[0.254]	[0.204]	[0.151]
_Iage_47	-0.013	0.131	0.125	-0.175
	[0.228]	[0.231]	[0.194]	[0.137]
_Iage_48	-0.177	-0.004	0.350	-0.012
	[0.259]	[0.262]	[0.214]	[0.156]
o._Iage_49	-	-	-	-
				
o._Iage_50	-	-	-	-
				
o._Iage_51	-	-	-	-
				
o._Iage_52	-	-	-	-
				
o._Iage_53	-	-	-	-
				
o._Iage_54	-	-	-	-
				
o._Iage_55	-	-	-	-
				
_Iyear_1980	0.274	0.103	-0.735***	-0.293*
	[0.251]	[0.273]	[0.215]	[0.162]
_Iyear_1981	0.360*	0.400*	-0.644***	-0.371***
	[0.194]	[0.211]	[0.174]	[0.127]
_Iyear_1982	0.401**	0.289	-0.589***	-0.290**
	[0.185]	[0.200]	[0.164]	[0.117]
_Iyear_1983	0.388**	0.153	-0.683***	-0.239**
	[0.180]	[0.193]	[0.159]	[0.114]
_Iyear_1984	0.206	0.123	-0.426***	-0.176
	[0.177]	[0.187]	[0.156]	[0.110]
_Iyear_1985	0.314*	0.142	-0.475***	-0.133
	[0.173]	[0.184]	[0.154]	[0.109]
_Iyear_1986	0.299*	0.116	-0.513***	-0.145
	[0.170]	[0.179]	[0.151]	[0.106]
_Iyear_1987	0.143	0.027	-0.249*	-0.037
	[0.166]	[0.173]	[0.147]	[0.103]
_Iyear_1988	0.220	0.116	-0.321**	-0.092
	[0.162]	[0.168]	[0.144]	[0.100]
_Iyear_1989	0.154	0.052	-0.257*	-0.059
	[0.158]	[0.163]	[0.140]	[0.097]
_Iyear_1990	0.205	0.098	-0.242*	-0.057
	[0.153]	[0.157]	[0.136]	[0.094]
_Iyear_1991	0.134	0.049	-0.154	-0.021
	[0.148]	[0.151]	[0.132]	[0.091]
_Iyear_1992	0.136	0.093	-0.271**	-0.095
	[0.144]	[0.145]	[0.127]	[0.087]
_Iyear_1993	0.131	0.001	-0.249**	-0.043
	[0.138]	[0.139]	[0.122]	[0.083]
_Iyear_1994	0.123	0.024	-0.218*	-0.050
	[0.131]	[0.132]	[0.116]	[0.079]
_Iyear_1996	0.025	-0.061	-0.073	0.012
	[0.118]	[0.116]	[0.103]	[0.070]
_Iyear_1998	0.041	-0.005	0.029	0.033
	[0.103]	[0.101]	[0.090]	[0.061]
_Iyear_2000	-0.062	-0.015	0.080	0.010
	[0.083]	[0.080]	[0.072]	[0.049]
_Iyear_2002	0.008	0.046	0.115**	0.047
	[0.063]	[0.061]	[0.055]	[0.038]
_Iyear_2004	-0.036	0.009	0.108***	0.027
	[0.043]	[0.041]	[0.037]	[0.025]
o._Iyear_2006	-	-	-	-
				
o._Iyear_2008	-	-	-	-
				
o._Iyear_2010	-	-	-	-
				
o._Iyear_2012	-	-	-	-
				
_Iarea_2	0.152***	0.046	-0.193***	-0.086***
	[0.053]	[0.057]	[0.048]	[0.033]
_Iarea_3	0.107**	0.103**	-0.039	-0.119***
	[0.049]	[0.053]	[0.043]	[0.030]
_Iarea_4	0.101*	-0.118**	-0.093*	-0.009
	[0.056]	[0.060]	[0.050]	[0.035]
_Imetro_1	-0.031	0.092*	0.163***	-0.015
	[0.041]	[0.047]	[0.037]	[0.028]
_Imetro_2	-0.041	0.021	0.163***	0.045
	[0.045]	[0.052]	[0.040]	[0.030]
_Imetro_3	0.001	0.026	0.116**	0.069**
	[0.052]	[0.059]	[0.046]	[0.034]
_Imetro_4	-0.213	-0.067	0.201	0.068
	[0.208]	[0.193]	[0.170]	[0.115]
_Iurban_1	-0.047	-0.205***	0.070**	0.119***
	[0.038]	[0.042]	[0.034]	[0.025]
_Iurban_2	0.030	-0.130	0.133	0.070
	[0.137]	[0.134]	[0.112]	[0.079]
_Iind6090_30	0.847**		0.608*	
	[0.369]		[0.322]	
_Iind6090_31	0.601*		-0.374	
	[0.311]		[0.289]	
_Iind6090_40	3.178***		-1.573***	
	[0.519]		[0.519]	
_Iind6090_41	3.350***		-2.007***	
	[0.240]		[0.301]	
_Iind6090_42	2.865***		-0.952***	
	[0.189]		[0.183]	
_Iind6090_50	3.809***		-1.894***	
	[0.327]		[0.318]	
_Iind6090_66	2.401***		-1.206***	
	[0.075]		[0.078]	
_Iind6090_100	2.695***		-1.425***	
	[0.159]		[0.190]	
_Iind6090_101	3.262***		-1.721***	
	[0.267]		[0.300]	
_Iind6090_102	3.066***		-1.060***	
	[0.243]		[0.216]	
_Iind6090_110	2.614***		-0.751*	
	[0.341]		[0.417]	
_Iind6090_111	3.263***		-0.942***	
	[0.322]		[0.351]	
_Iind6090_112	3.144***		-1.439***	
	[0.474]		[0.248]	
_Iind6090_120	2.203***		-0.077	
