	(1)	(2)	(3)	(4)
VARIABLES	routine	routine	socskills	socskills
				
afqt_std	-0.101***	0.145***	0.365***	-0.055***
	[0.025]	[0.028]	[0.023]	[0.016]
soc_nlsy_std	-0.173***	-0.134***	0.168***	0.097***
	[0.020]	[0.021]	[0.017]	[0.012]
afqt_socnlsy	-0.071***	-0.078***	0.032**	0.031***
	[0.019]	[0.020]	[0.016]	[0.012]
_Ieduc_1	-0.068	0.864	0.458	-1.021
	[1.461]	[2.366]	[0.947]	[1.151]
_Ieduc_3	0.414	0.287	0.059	-0.055
	[1.493]	[2.504]	[0.973]	[1.231]
_Ieduc_4	-0.625	-0.210	1.248	0.217
	[1.555]	[2.444]	[1.372]	[1.261]
_Ieduc_5	0.530	1.573	-0.259	-0.818
	[1.518]	[2.433]	[0.971]	[1.187]
_Ieduc_6	-0.097	-0.112	0.361	-0.052
	[1.472]	[2.386]	[0.968]	[1.169]
_Ieduc_7	-0.499	-0.496	0.420	0.141
	[1.473]	[2.381]	[0.961]	[1.159]
_Ieduc_8	-0.430	-0.447	0.531	0.184
	[1.464]	[2.371]	[0.950]	[1.154]
_Ieduc_9	-0.107	-0.159	0.221	0.173
	[1.462]	[2.369]	[0.946]	[1.153]
_Ieduc_10	-0.259	-0.484	0.274	0.273
	[1.462]	[2.368]	[0.948]	[1.153]
_Ieduc_11	-0.152	-0.309	0.410	0.211
	[1.461]	[2.368]	[0.947]	[1.152]
_Ieduc_12	-0.308	-0.238	0.609	0.212
	[1.459]	[2.366]	[0.944]	[1.151]
_Ieduc_13	-0.494	-0.301	0.963	0.283
	[1.460]	[2.367]	[0.945]	[1.152]
_Ieduc_14	-0.348	-0.073	1.097	0.253
	[1.461]	[2.367]	[0.945]	[1.152]
_Ieduc_15	-0.484	-0.131	1.333	0.251
	[1.462]	[2.368]	[0.947]	[1.152]
_Ieduc_16	-1.019	-0.317	2.112**	0.303
	[1.461]	[2.367]	[0.946]	[1.152]
_Ieduc_17	-1.098	-0.458	2.146**	0.245
	[1.465]	[2.369]	[0.949]	[1.153]
_Ieduc_18	-1.166	-0.381	2.488***	0.433
	[1.463]	[2.369]	[0.948]	[1.153]
_Ieduc_19	-1.415	-0.053	2.592***	0.226
	[1.471]	[2.372]	[0.953]	[1.155]
_Ieduc_20	-1.145	-0.070	2.226**	-0.040
	[1.467]	[2.370]	[0.950]	[1.154]
female	0.591***	0.084	-0.187***	0.089***
	[0.052]	[0.053]	[0.046]	[0.031]
hisp_male	0.106	0.255***	-0.099	-0.133***
	[0.066]	[0.072]	[0.067]	[0.046]
hisp_female	0.034	0.217***	0.167***	-0.087*
	[0.079]	[0.083]	[0.062]	[0.045]
black_male	0.374***	0.330***	-0.482***	-0.082**
	[0.059]	[0.065]	[0.057]	[0.039]
black_female	0.071	0.173**	-0.129**	-0.017
	[0.066]	[0.073]	[0.054]	[0.040]
o._Iage_15	-	-	-	-
				
o._Iage_16	-	-	-	-
				
o._Iage_17	-	-	-	-
				
o._Iage_18	-	-	-	-
				
o._Iage_19	-	-	-	-
				
o._Iage_20	-	-	-	-
				
o._Iage_21	-	-	-	-
				
o._Iage_22	-	-	-	-
				
o._Iage_23	-	-	-	-
				
o._Iage_24	-	-	-	-
				
_Iage_25	0.298	0.186	-0.574***	-0.260*
	[0.218]	[0.226]	[0.194]	[0.135]
_Iage_26	0.245	0.156	-0.537***	-0.267**
	[0.215]	[0.222]	[0.191]	[0.133]
_Iage_27	0.212	0.200	-0.459**	-0.273**
	[0.211]	[0.218]	[0.188]	[0.130]
_Iage_28	0.190	0.203	-0.432**	-0.288**
	[0.207]	[0.212]	[0.185]	[0.128]
_Iage_29	0.070	0.096	-0.374**	-0.242*
	[0.204]	[0.207]	[0.182]	[0.125]
_Iage_30	0.122	0.118	-0.386**	-0.260**
	[0.200]	[0.203]	[0.178]	[0.122]
_Iage_31	0.080	0.098	-0.350**	-0.241**
	[0.195]	[0.197]	[0.174]	[0.119]
_Iage_32	0.046	0.091	-0.304*	-0.210*
	[0.191]	[0.192]	[0.170]	[0.116]
_Iage_33	0.038	0.109	-0.301*	-0.240**
	[0.185]	[0.185]	[0.165]	[0.112]
_Iage_34	0.068	0.137	-0.271*	-0.222**
	[0.181]	[0.181]	[0.161]	[0.110]
_Iage_35	0.032	0.056	-0.300*	-0.205*
	[0.173]	[0.172]	[0.155]	[0.106]
_Iage_36	0.019	0.086	-0.272*	-0.197*
	[0.170]	[0.168]	[0.152]	[0.103]
_Iage_37	0.058	0.036	-0.348**	-0.214**
	[0.165]	[0.163]	[0.147]	[0.100]
_Iage_38	-0.001	0.031	-0.254*	-0.184*
	[0.158]	[0.155]	[0.142]	[0.095]
_Iage_39	0.049	0.016	-0.315**	-0.223**
	[0.152]	[0.151]	[0.136]	[0.092]
_Iage_40	0.041	0.041	-0.252*	-0.160*
	[0.143]	[0.141]	[0.129]	[0.086]
_Iage_41	0.014	-0.049	-0.261**	-0.161*
	[0.140]	[0.138]	[0.126]	[0.085]
_Iage_42	0.014	0.007	-0.262**	-0.185**
	[0.128]	[0.126]	[0.116]	[0.078]
_Iage_43	0.088	0.046	-0.232*	-0.154*
	[0.132]	[0.131]	[0.119]	[0.080]
_Iage_44	-0.030	-0.010	-0.160	-0.122*
	[0.117]	[0.115]	[0.106]	[0.071]
_Iage_45	0.041	0.009	-0.142	-0.110
	[0.132]	[0.131]	[0.120]	[0.080]
_Iage_46	0.006	0.016	-0.137	-0.076
	[0.105]	[0.103]	[0.092]	[0.063]
_Iage_47	0.166	0.134	-0.226*	-0.162*
	[0.150]	[0.146]	[0.137]	[0.091]
o._Iage_48	-	-	-	-
				
_Iage_49	0.173	0.004	-0.350	0.015
	[0.259]	[0.262]	[0.214]	[0.156]
o._Iage_50	-	-	-	-
				
o._Iage_51	-	-	-	-
				
o._Iage_52	-	-	-	-
				
o._Iage_53	-	-	-	-
				
o._Iage_54	-	-	-	-
				
o._Iage_55	-	-	-	-
				
o._Iyear_1980	-	-	-	-
				
o._Iyear_1981	-	-	-	-
				
_Iyear_1982	0.692***	0.420	-0.945***	-0.508***
	[0.240]	[0.256]	[0.207]	[0.152]
_Iyear_1983	0.353*	0.126	-0.706***	-0.292**
	[0.189]	[0.204]	[0.166]	[0.120]
_Iyear_1984	0.265	0.200	-0.490***	-0.249**
	[0.181]	[0.191]	[0.160]	[0.112]
_Iyear_1985	0.312*	0.112	-0.495***	-0.145
	[0.176]	[0.187]	[0.157]	[0.111]
_Iyear_1986	0.304*	0.114	-0.471***	-0.120
	[0.171]	[0.181]	[0.152]	[0.107]
_Iyear_1987	0.127	0.020	-0.236	-0.025
	[0.167]	[0.174]	[0.148]	[0.103]
_Iyear_1988	0.230	0.121	-0.322**	-0.097
	[0.163]	[0.169]	[0.144]	[0.100]
_Iyear_1989	0.161	0.048	-0.267*	-0.061
	[0.158]	[0.164]	[0.140]	[0.098]
_Iyear_1990	0.209	0.098	-0.244*	-0.060
	[0.153]	[0.158]	[0.136]	[0.094]
_Iyear_1991	0.138	0.048	-0.154	-0.022
	[0.148]	[0.152]	[0.132]	[0.091]
_Iyear_1992	0.139	0.092	-0.270**	-0.095
	[0.144]	[0.145]	[0.127]	[0.087]
_Iyear_1993	0.134	-0.001	-0.249**	-0.043
	[0.138]	[0.139]	[0.122]	[0.083]
_Iyear_1994	0.126	0.024	-0.219*	-0.051
	[0.132]	[0.132]	[0.116]	[0.080]
_Iyear_1996	0.027	-0.061	-0.073	0.010
	[0.118]	[0.117]	[0.103]	[0.070]
_Iyear_1998	0.048	0.002	0.028	0.027
	[0.103]	[0.101]	[0.090]	[0.061]
_Iyear_2000	-0.062	-0.015	0.083	0.010
	[0.083]	[0.080]	[0.072]	[0.049]
_Iyear_2002	0.009	0.046	0.115**	0.046
	[0.063]	[0.061]	[0.055]	[0.038]
_Iyear_2004	-0.035	0.011	0.107***	0.025
	[0.043]	[0.041]	[0.037]	[0.025]
o._Iyear_2006	-	-	-	-
				
o._Iyear_2008	-	-	-	-
				
o._Iyear_2010	-	-	-	-
				
o._Iyear_2012	-	-	-	-
				
_Iarea_2	0.168***	0.073	-0.198***	-0.100***
	[0.057]	[0.060]	[0.052]	[0.035]
_Iarea_3	0.123**	0.131**	-0.045	-0.133***
	[0.053]	[0.056]	[0.046]	[0.032]
_Iarea_4	0.111*	-0.098	-0.100*	-0.019
	[0.061]	[0.064]	[0.054]	[0.037]
_Imetro_1	-0.035	0.090*	0.166***	-0.011
	[0.044]	[0.050]	[0.039]	[0.029]
_Imetro_2	-0.032	0.032	0.158***	0.037
	[0.049]	[0.055]	[0.043]	[0.032]
_Imetro_3	0.009	0.031	0.109**	0.069*
	[0.057]	[0.063]	[0.050]	[0.037]
_Imetro_4	-0.211	-0.061	0.199	0.065
	[0.208]	[0.194]	[0.170]	[0.116]
_Iurban_1	-0.036	-0.191***	0.065*	0.116***
	[0.040]	[0.044]	[0.036]	[0.026]
_Iurban_2	0.040	-0.119	0.124	0.068
	[0.137]	[0.134]	[0.111]	[0.079]
_Iind6090_30	1.063**		0.524	
	[0.427]		[0.390]	
_Iind6090_31	0.637*		-0.452	
	[0.332]		[0.315]	
_Iind6090_40	3.414***		-1.836***	
	[0.659]		[0.608]	
_Iind6090_41	3.633***		-2.249***	
	[0.262]		[0.295]	
_Iind6090_42	2.833***		-0.782***	
	[0.222]		[0.206]	
_Iind6090_50	4.025***		-2.087***	
	[0.371]		[0.325]	
_Iind6090_66	2.476***		-1.205***	
	[0.081]		[0.086]	
_Iind6090_100	2.790***		-1.452***	
	[0.183]		[0.218]	
_Iind6090_101	3.340***		-1.767***	
	[0.292]		[0.327]	
_Iind6090_102	3.086***		-1.033***	
	[0.284]		[0.248]	
_Iind6090_110	2.684***		-0.779*	
	[0.382]		[0.467]	
_Iind6090_111	3.421***		-1.023***	
	[0.334]		[0.359]	
_Iind6090_112	3.371***		-1.579***	
	[0.497]		[0.266]	
_Iind6090_120	2.291***		-0.142	
	[0.299]		[0.302]	
_Iind6090_121	2.810***		-0.848***	
	[0.199]		[0.224]	
_Iind6090_122	2.421***		0.076	
	[0.327]		[0.293]	
