	(1)	(2)	(3)	(4)
VARIABLES	routine	routine	socskills	socskills
				
afqt_std	-0.072**	0.151***	0.339***	-0.048**
	[0.030]	[0.033]	[0.028]	[0.020]
soc_nlsy_std	-0.191***	-0.158***	0.206***	0.123***
	[0.022]	[0.025]	[0.020]	[0.014]
afqt_socnlsy	-0.068***	-0.064***	0.019	0.014
	[0.022]	[0.024]	[0.019]	[0.014]
_Ieduc_1	-0.006	0.805	0.283	-0.963
	[1.552]	[2.433]	[0.965]	[1.154]
_Ieduc_3	0.317	0.071	0.202	0.082
	[1.589]	[2.567]	[1.009]	[1.241]
_Ieduc_4	-0.747	-0.580	1.059	0.337
	[1.610]	[2.518]	[1.253]	[1.236]
_Ieduc_5	0.690	2.083	-0.362	-1.046
	[1.579]	[2.468]	[0.983]	[1.182]
_Ieduc_6	-0.280	-0.051	0.665	0.012
	[1.561]	[2.450]	[0.982]	[1.166]
_Ieduc_7	-0.201	-0.462	0.338	0.283
	[1.557]	[2.448]	[0.975]	[1.162]
_Ieduc_8	-0.722	-0.653	0.774	0.202
	[1.559]	[2.441]	[0.976]	[1.159]
_Ieduc_9	-0.362	-0.355	0.481	0.371
	[1.552]	[2.436]	[0.965]	[1.156]
_Ieduc_10	-0.438	-0.502	0.442	0.303
	[1.553]	[2.437]	[0.972]	[1.157]
_Ieduc_11	-0.409	-0.457	0.625	0.213
	[1.553]	[2.436]	[0.967]	[1.156]
_Ieduc_12	-0.451	-0.330	0.753	0.263
	[1.549]	[2.433]	[0.961]	[1.154]
_Ieduc_13	-0.706	-0.531	1.095	0.347
	[1.550]	[2.434]	[0.963]	[1.155]
_Ieduc_14	-0.552	-0.223	1.233	0.331
	[1.550]	[2.434]	[0.963]	[1.155]
_Ieduc_15	-0.697	-0.351	1.430	0.343
	[1.553]	[2.436]	[0.965]	[1.156]
_Ieduc_16	-1.240	-0.526	2.226**	0.350
	[1.551]	[2.434]	[0.963]	[1.155]
_Ieduc_17	-1.207	-0.561	2.123**	0.284
	[1.557]	[2.438]	[0.969]	[1.157]
_Ieduc_18	-1.463	-0.536	2.666***	0.490
	[1.553]	[2.436]	[0.965]	[1.156]
_Ieduc_19	-1.460	-0.162	2.567***	0.231
	[1.563]	[2.440]	[0.972]	[1.158]
_Ieduc_20	-1.353	-0.246	2.259**	-0.052
	[1.558]	[2.439]	[0.968]	[1.158]
female	0.555***	0.132**	-0.166***	0.069**
	[0.055]	[0.056]	[0.048]	[0.033]
hisp_male	0.109	0.239***	-0.074	-0.098**
	[0.069]	[0.076]	[0.070]	[0.050]
hisp_female	0.046	0.277***	0.198***	-0.095*
	[0.084]	[0.090]	[0.069]	[0.050]
black_male	0.379***	0.348***	-0.460***	-0.062
	[0.063]	[0.069]	[0.061]	[0.042]
black_female	0.110	0.204***	-0.165***	-0.021
	[0.070]	[0.078]	[0.058]	[0.043]
o._Iage_15	-	-	-	-
				
o._Iage_16	-	-	-	-
				
o._Iage_17	-	-	-	-
				
o._Iage_18	-	-	-	-
				
o._Iage_19	-	-	-	-
				
o._Iage_20	-	-	-	-
				
o._Iage_21	-	-	-	-
				
o._Iage_22	-	-	-	-
				
_Iage_23	0.461	0.270	-0.635*	-0.570**
	[0.396]	[0.384]	[0.356]	[0.242]
_Iage_24	0.398	0.298	-0.514	-0.565**
	[0.393]	[0.379]	[0.351]	[0.238]
_Iage_25	0.351	0.283	-0.483	-0.577**
	[0.391]	[0.374]	[0.348]	[0.236]
_Iage_26	0.332	0.283	-0.462	-0.575**
	[0.388]	[0.370]	[0.345]	[0.234]
_Iage_27	0.277	0.286	-0.350	-0.550**
	[0.384]	[0.366]	[0.341]	[0.231]
_Iage_28	0.226	0.271	-0.302	-0.547**
	[0.380]	[0.360]	[0.338]	[0.228]
_Iage_29	0.126	0.171	-0.233	-0.482**
	[0.378]	[0.356]	[0.334]	[0.226]
_Iage_30	0.145	0.170	-0.213	-0.496**
	[0.373]	[0.351]	[0.330]	[0.223]
_Iage_31	0.131	0.166	-0.198	-0.487**
	[0.367]	[0.345]	[0.325]	[0.221]
_Iage_32	0.103	0.147	-0.127	-0.416*
	[0.363]	[0.339]	[0.320]	[0.217]
_Iage_33	0.112	0.165	-0.118	-0.444**
	[0.359]	[0.333]	[0.312]	[0.213]
_Iage_34	0.116	0.173	-0.070	-0.402*
	[0.357]	[0.330]	[0.308]	[0.210]
_Iage_35	0.063	0.093	-0.068	-0.378*
	[0.348]	[0.322]	[0.300]	[0.207]
_Iage_36	0.035	0.119	-0.013	-0.343*
	[0.344]	[0.319]	[0.296]	[0.205]
_Iage_37	0.074	0.072	-0.062	-0.374*
	[0.339]	[0.313]	[0.288]	[0.199]
_Iage_38	-0.004	0.038	0.040	-0.332*
	[0.338]	[0.312]	[0.290]	[0.200]
_Iage_39	0.068	0.038	-0.012	-0.367*
	[0.327]	[0.303]	[0.277]	[0.194]
_Iage_40	-0.037	-0.015	0.090	-0.278
	[0.327]	[0.302]	[0.279]	[0.194]
_Iage_41	0.011	-0.077	0.098	-0.255
	[0.312]	[0.292]	[0.266]	[0.185]
_Iage_42	-0.098	-0.106	0.068	-0.287
	[0.315]	[0.293]	[0.269]	[0.187]
_Iage_43	0.030	-0.062	0.115	-0.217
	[0.308]	[0.285]	[0.263]	[0.182]
_Iage_44	-0.176	-0.176	0.174	-0.210
	[0.312]	[0.290]	[0.266]	[0.186]
_Iage_45	-0.073	-0.116	0.273	-0.169
	[0.293]	[0.272]	[0.252]	[0.176]
_Iage_46	-0.155	-0.130	0.219	-0.153
	[0.311]	[0.289]	[0.265]	[0.186]
_Iage_47	0.037	-0.089	0.161	-0.168
	[0.278]	[0.258]	[0.244]	[0.168]
_Iage_48	-0.284	-0.240	0.468*	0.051
	[0.321]	[0.299]	[0.278]	[0.191]
o._Iage_49	-	-	-	-
				
o._Iage_50	-	-	-	-
				
o._Iage_51	-	-	-	-
				
o._Iage_52	-	-	-	-
				
o._Iage_53	-	-	-	-
				
o._Iage_54	-	-	-	-
				
o._Iage_55	-	-	-	-
				
_Iyear_1980	0.085	-0.174	-0.423	-0.068
	[0.312]	[0.352]	[0.269]	[0.216]
_Iyear_1981	-0.011	-0.049	-0.306	-0.021
	[0.248]	[0.265]	[0.226]	[0.161]
_Iyear_1982	0.176	-0.129	-0.329	0.037
	[0.236]	[0.251]	[0.214]	[0.150]
_Iyear_1983	0.224	-0.154	-0.394*	0.086
	[0.230]	[0.241]	[0.206]	[0.144]
_Iyear_1984	0.004	-0.218	-0.187	0.106
	[0.225]	[0.232]	[0.203]	[0.139]
_Iyear_1985	0.084	-0.206	-0.215	0.163
	[0.219]	[0.227]	[0.199]	[0.137]
_Iyear_1986	0.117	-0.167	-0.322*	0.108
	[0.214]	[0.220]	[0.194]	[0.133]
_Iyear_1987	-0.098	-0.323	0.006	0.230*
	[0.209]	[0.214]	[0.189]	[0.129]
_Iyear_1988	-0.038	-0.217	-0.092	0.145
	[0.205]	[0.207]	[0.183]	[0.125]
_Iyear_1989	-0.091	-0.276	-0.012	0.172
	[0.200]	[0.200]	[0.179]	[0.121]
_Iyear_1990	-0.054	-0.218	0.004	0.166
	[0.193]	[0.193]	[0.174]	[0.117]
_Iyear_1991	-0.083	-0.240	0.036	0.198*
	[0.186]	[0.185]	[0.168]	[0.113]
_Iyear_1992	-0.099	-0.195	-0.057	0.107
	[0.181]	[0.177]	[0.162]	[0.108]
_Iyear_1993	-0.118	-0.296*	-0.049	0.153
	[0.173]	[0.169]	[0.155]	[0.103]
_Iyear_1994	-0.128	-0.285*	-0.027	0.145
	[0.165]	[0.160]	[0.149]	[0.098]
_Iyear_1996	-0.231	-0.354**	0.088	0.171**
	[0.149]	[0.141]	[0.130]	[0.087]
_Iyear_1998	-0.174	-0.264**	0.194*	0.185**
	[0.129]	[0.122]	[0.113]	[0.075]
_Iyear_2000	-0.249**	-0.245**	0.195**	0.129**
	[0.103]	[0.095]	[0.090]	[0.060]
_Iyear_2002	-0.091	-0.089	0.187***	0.134***
	[0.079]	[0.074]	[0.069]	[0.046]
_Iyear_2004	-0.112**	-0.079	0.143***	0.071**
	[0.054]	[0.050]	[0.045]	[0.030]
o._Iyear_2006	-	-	-	-
				
o._Iyear_2008	-	-	-	-
				
o._Iyear_2010	-	-	-	-
				
o._Iyear_2012	-	-	-	-
				
_Iarea_2	0.113*	0.005	-0.141**	-0.086**
	[0.065]	[0.070]	[0.058]	[0.040]
_Iarea_3	0.078	0.081	0.017	-0.124***
	[0.062]	[0.067]	[0.054]	[0.038]
_Iarea_4	0.053	-0.188**	-0.084	-0.001
	[0.072]	[0.076]	[0.063]	[0.044]
_Imetro_1	-0.069	0.030	0.162***	0.004
	[0.052]	[0.057]	[0.048]	[0.035]
_Imetro_2	-0.049	-0.014	0.176***	0.062
	[0.058]	[0.064]	[0.053]	[0.038]
_Imetro_3	-0.046	-0.046	0.128**	0.078*
	[0.066]	[0.072]	[0.060]	[0.043]
_Imetro_4	-0.205	-0.121	-0.002	0.030
	[0.247]	[0.235]	[0.201]	[0.139]
_Iurban_1	-0.041	-0.164***	0.068	0.102***
	[0.047]	[0.050]	[0.042]	[0.030]
_Iurban_2	0.066	0.018	0.115	-0.029
	[0.164]	[0.168]	[0.141]	[0.100]
_Iind6090_30	0.758*		0.463	
	[0.459]		[0.310]	
_Iind6090_31	0.933**		-0.592*	
	[0.409]		[0.302]	
_Iind6090_40	2.893***		-1.559***	
	[0.651]		[0.463]	
_Iind6090_41	3.504***		-2.138***	
	[0.257]		[0.341]	
_Iind6090_42	3.116***		-0.989***	
	[0.219]		[0.242]	
_Iind6090_50	3.955***		-2.095***	
	[0.437]		[0.351]	
_Iind6090_66	2.497***		-1.190***	
	[0.102]		[0.112]	
_Iind6090_100	2.661***		-1.245***	
	[0.248]		[0.294]	
_Iind6090_101	3.330***		-1.924***	
	[0.365]		[0.367]	
_Iind6090_102	3.020***		-0.824**	
	[0.376]		[0.335]	
_Iind6090_110	2.813***		-0.856	
	[0.444]		[0.597]	
_Iind6090_111	3.246***		-1.167**	
	[0.439]		[0.490]	
_Iind6090_112	3.167***		-1.154***	
	[0.501]		[0.385]	
