	(1)	(2)	(3)	(4)
VARIABLES	routine	routine	socskills	socskills
				
afqt_std	-0.078**	0.151***	0.341***	-0.054**
	[0.032]	[0.034]	[0.031]	[0.021]
soc_nlsy_std	-0.197***	-0.164***	0.211***	0.126***
	[0.024]	[0.026]	[0.022]	[0.015]
afqt_socnlsy	-0.066***	-0.063**	0.014	0.012
	[0.023]	[0.025]	[0.020]	[0.015]
_Ieduc_1	0.009	0.726	0.369	-0.955
	[1.504]	[2.431]	[0.922]	[1.148]
_Ieduc_3	0.335	0.008	0.133	0.077
	[1.545]	[2.556]	[0.968]	[1.225]
_Ieduc_4	-0.684	-0.612	1.062	0.409
	[1.581]	[2.520]	[1.284]	[1.257]
_Ieduc_5	0.729	2.083	-0.471	-1.103
	[1.529]	[2.466]	[0.945]	[1.184]
_Ieduc_6	-0.199	-0.125	0.586	0.074
	[1.517]	[2.447]	[0.951]	[1.161]
_Ieduc_7	-0.161	-0.539	0.267	0.311
	[1.510]	[2.447]	[0.936]	[1.158]
_Ieduc_8	-0.633	-0.652	0.715	0.200
	[1.513]	[2.440]	[0.934]	[1.153]
_Ieduc_9	-0.242	-0.350	0.372	0.387
	[1.505]	[2.434]	[0.922]	[1.150]
_Ieduc_10	-0.341	-0.488	0.358	0.321
	[1.506]	[2.435]	[0.931]	[1.152]
_Ieduc_11	-0.334	-0.447	0.548	0.202
	[1.506]	[2.435]	[0.924]	[1.151]
_Ieduc_12	-0.382	-0.324	0.673	0.263
	[1.501]	[2.431]	[0.917]	[1.148]
_Ieduc_13	-0.629	-0.492	1.021	0.330
	[1.503]	[2.432]	[0.919]	[1.149]
_Ieduc_14	-0.491	-0.202	1.168	0.322
	[1.503]	[2.432]	[0.919]	[1.149]
_Ieduc_15	-0.595	-0.265	1.380	0.311
	[1.506]	[2.434]	[0.922]	[1.150]
_Ieduc_16	-1.184	-0.496	2.176**	0.348
	[1.503]	[2.433]	[0.920]	[1.149]
_Ieduc_17	-1.127	-0.499	2.070**	0.263
	[1.510]	[2.436]	[0.926]	[1.151]
_Ieduc_18	-1.403	-0.497	2.658***	0.507
	[1.506]	[2.434]	[0.922]	[1.151]
_Ieduc_19	-1.414	-0.081	2.526***	0.209
	[1.517]	[2.439]	[0.930]	[1.153]
_Ieduc_20	-1.277	-0.120	2.212**	-0.102
	[1.512]	[2.438]	[0.926]	[1.153]
female	0.552***	0.116*	-0.186***	0.067*
	[0.059]	[0.059]	[0.052]	[0.035]
hisp_male	0.098	0.225***	-0.084	-0.104**
	[0.074]	[0.080]	[0.074]	[0.052]
hisp_female	0.020	0.270***	0.208***	-0.091*
	[0.089]	[0.093]	[0.074]	[0.053]
black_male	0.389***	0.348***	-0.496***	-0.073*
	[0.068]	[0.073]	[0.066]	[0.044]
black_female	0.085	0.203**	-0.160***	-0.019
	[0.074]	[0.081]	[0.062]	[0.045]
o._Iage_15	-	-	-	-
				
o._Iage_16	-	-	-	-
				
o._Iage_17	-	-	-	-
				
o._Iage_18	-	-	-	-
				
o._Iage_19	-	-	-	-
				
o._Iage_20	-	-	-	-
				
o._Iage_21	-	-	-	-
				
o._Iage_22	-	-	-	-
				
o._Iage_23	-	-	-	-
				
o._Iage_24	-	-	-	-
				
_Iage_25	0.633**	0.517*	-0.943***	-0.604***
	[0.279]	[0.278]	[0.248]	[0.168]
_Iage_26	0.615**	0.516*	-0.932***	-0.615***
	[0.274]	[0.272]	[0.244]	[0.164]
_Iage_27	0.569**	0.530**	-0.830***	-0.604***
	[0.269]	[0.265]	[0.240]	[0.160]
_Iage_28	0.519**	0.514**	-0.785***	-0.605***
	[0.264]	[0.259]	[0.235]	[0.157]
_Iage_29	0.417	0.413	-0.713***	-0.537***
	[0.260]	[0.252]	[0.230]	[0.153]
_Iage_30	0.434*	0.410*	-0.690***	-0.547***
	[0.254]	[0.246]	[0.226]	[0.150]
_Iage_31	0.420*	0.408*	-0.673***	-0.539***
	[0.247]	[0.238]	[0.221]	[0.147]
_Iage_32	0.393	0.388*	-0.603***	-0.469***
	[0.242]	[0.232]	[0.216]	[0.143]
_Iage_33	0.402*	0.406*	-0.595***	-0.497***
	[0.235]	[0.224]	[0.208]	[0.137]
_Iage_34	0.405*	0.415*	-0.546***	-0.455***
	[0.229]	[0.219]	[0.203]	[0.134]
_Iage_35	0.352	0.333	-0.543***	-0.430***
	[0.219]	[0.207]	[0.196]	[0.129]
_Iage_36	0.325	0.363*	-0.488**	-0.397***
	[0.215]	[0.202]	[0.191]	[0.124]
_Iage_37	0.360*	0.312	-0.533***	-0.425***
	[0.209]	[0.196]	[0.185]	[0.121]
_Iage_38	0.286	0.281	-0.434**	-0.385***
	[0.200]	[0.187]	[0.179]	[0.115]
_Iage_39	0.356*	0.277	-0.484***	-0.419***
	[0.194]	[0.182]	[0.172]	[0.111]
_Iage_40	0.252	0.227	-0.383**	-0.331***
	[0.182]	[0.169]	[0.161]	[0.103]
_Iage_41	0.298*	0.162	-0.372**	-0.306***
	[0.177]	[0.167]	[0.158]	[0.102]
_Iage_42	0.190	0.135	-0.402***	-0.339***
	[0.162]	[0.152]	[0.147]	[0.093]
_Iage_43	0.315*	0.177	-0.354**	-0.267***
	[0.169]	[0.159]	[0.151]	[0.097]
_Iage_44	0.112	0.065	-0.295**	-0.262***
	[0.147]	[0.139]	[0.134]	[0.086]
_Iage_45	0.212	0.122	-0.194	-0.220**
	[0.169]	[0.159]	[0.152]	[0.097]
_Iage_46	0.131	0.107	-0.248**	-0.203***
	[0.128]	[0.125]	[0.112]	[0.076]
_Iage_47	0.323*	0.148	-0.305*	-0.217**
	[0.190]	[0.176]	[0.169]	[0.108]
o._Iage_48	-	-	-	-
				
_Iage_49	0.273	0.238	-0.459*	-0.048
	[0.319]	[0.299]	[0.276]	[0.191]
o._Iage_50	-	-	-	-
				
o._Iage_51	-	-	-	-
				
o._Iage_52	-	-	-	-
				
o._Iage_53	-	-	-	-
				
o._Iage_54	-	-	-	-
				
o._Iage_55	-	-	-	-
				
o._Iyear_1980	-	-	-	-
				
o._Iyear_1981	-	-	-	-
				
_Iyear_1982	0.282	-0.103	-0.492*	-0.129
	[0.307]	[0.323]	[0.287]	[0.201]
_Iyear_1983	0.221	-0.189	-0.427*	0.001
	[0.245]	[0.258]	[0.220]	[0.154]
_Iyear_1984	0.106	-0.107	-0.282	-0.004
	[0.233]	[0.238]	[0.209]	[0.142]
_Iyear_1985	0.060	-0.263	-0.215	0.168
	[0.223]	[0.231]	[0.203]	[0.139]
_Iyear_1986	0.124	-0.179	-0.286	0.146
	[0.216]	[0.222]	[0.195]	[0.134]
_Iyear_1987	-0.114	-0.337	0.037	0.250*
	[0.211]	[0.214]	[0.189]	[0.129]
_Iyear_1988	-0.020	-0.211	-0.089	0.136
	[0.205]	[0.208]	[0.183]	[0.125]
_Iyear_1989	-0.081	-0.285	-0.013	0.173
	[0.200]	[0.201]	[0.179]	[0.122]
_Iyear_1990	-0.046	-0.222	0.008	0.165
	[0.193]	[0.193]	[0.174]	[0.117]
_Iyear_1991	-0.077	-0.246	0.042	0.199*
	[0.187]	[0.185]	[0.168]	[0.114]
_Iyear_1992	-0.094	-0.200	-0.049	0.109
	[0.181]	[0.177]	[0.162]	[0.108]
_Iyear_1993	-0.112	-0.301*	-0.044	0.154
	[0.174]	[0.169]	[0.155]	[0.103]
_Iyear_1994	-0.121	-0.289*	-0.023	0.145
	[0.165]	[0.161]	[0.148]	[0.098]
_Iyear_1996	-0.223	-0.355**	0.091	0.169*
	[0.149]	[0.142]	[0.130]	[0.087]
_Iyear_1998	-0.162	-0.259**	0.197*	0.180**
	[0.130]	[0.122]	[0.113]	[0.075]
_Iyear_2000	-0.251**	-0.246***	0.199**	0.130**
	[0.103]	[0.095]	[0.090]	[0.060]
_Iyear_2002	-0.091	-0.090	0.189***	0.133***
	[0.079]	[0.074]	[0.069]	[0.046]
_Iyear_2004	-0.111**	-0.078	0.144***	0.070**
	[0.054]	[0.050]	[0.045]	[0.030]
o._Iyear_2006	-	-	-	-
				
o._Iyear_2008	-	-	-	-
				
o._Iyear_2010	-	-	-	-
				
o._Iyear_2012	-	-	-	-
				
_Iarea_2	0.135*	0.030	-0.149**	-0.095**
	[0.070]	[0.073]	[0.062]	[0.042]
_Iarea_3	0.098	0.110	0.014	-0.134***
	[0.067]	[0.071]	[0.057]	[0.040]
_Iarea_4	0.073	-0.159**	-0.098	-0.019
	[0.077]	[0.080]	[0.067]	[0.046]
_Imetro_1	-0.064	0.025	0.165***	0.010
	[0.056]	[0.061]	[0.052]	[0.036]
_Imetro_2	-0.025	-0.008	0.175***	0.056
	[0.063]	[0.068]	[0.057]	[0.040]
_Imetro_3	-0.021	-0.045	0.120*	0.077*
	[0.073]	[0.078]	[0.065]	[0.046]
_Imetro_4	-0.189	-0.122	-0.006	0.030
	[0.247]	[0.236]	[0.202]	[0.140]
_Iurban_1	-0.033	-0.149***	0.064	0.104***
	[0.049]	[0.052]	[0.045]	[0.031]
_Iurban_2	0.076	0.028	0.107	-0.028
	[0.163]	[0.168]	[0.140]	[0.100]
_Iind6090_30	0.877*		0.427	
	[0.517]		[0.350]	
_Iind6090_31	0.988**		-0.661**	
	[0.437]		[0.324]	
_Iind6090_40	3.027***		-1.806***	
	[0.837]		[0.539]	
_Iind6090_41	3.692***		-2.336***	
	[0.296]		[0.350]	
_Iind6090_42	2.965***		-0.747***	
	[0.247]		[0.273]	
_Iind6090_50	4.137***		-2.305***	
	[0.490]		[0.337]	
_Iind6090_66	2.541***		-1.192***	
	[0.109]		[0.121]	
_Iind6090_100	2.700***		-1.244***	
	[0.286]		[0.343]	
_Iind6090_101	3.334***		-1.950***	
	[0.394]		[0.391]	
_Iind6090_102	3.000***		-0.751**	
	[0.406]		[0.356]	
_Iind6090_110	2.886***		-0.916	
	[0.485]		[0.652]	
_Iind6090_111	3.390***		-1.260***	
	[0.427]		[0.448]	
_Iind6090_112	3.379***		-1.212***	
	[0.494]		[0.420]	
_Iind6090_120	2.485***		0.085	
	[0.364]		[0.338]	
_Iind6090_121	2.750***		-0.739***	
	[0.280]		[0.276]	
_Iind6090_122	2.087***		0.267	
