	(1)	(2)	(3)
VARIABLES	ln_wage	ln_wage	ln_wage
			
routine	0.0070***		0.0138***
	[0.0008]		[0.0009]
afqt_routine	-0.0017**		0.0015
	[0.0008]		[0.0010]
socnlsy_routine	-0.0016*		-0.0007
	[0.0008]		[0.0010]
afqt_socnlsy_routine	-0.0007		-0.0007
	[0.0008]		[0.0009]
o._Iage_15	-	-	-
			
o._Iage_16	-	-	-
			
o._Iage_17	-	-	-
			
o._Iage_18	-	-	-
			
o._Iage_19	-	-	-
			
o._Iage_20	-	-	-
			
o._Iage_21	-	-	-
			
o._Iage_22	-	-	-
			
_Iage_23	-0.4559***	-0.4644***	-0.4678***
	[0.1378]	[0.1379]	[0.1374]
_Iage_24	-0.4123***	-0.4210***	-0.4248***
	[0.1328]	[0.1329]	[0.1324]
_Iage_25	-0.3731***	-0.3811***	-0.3848***
	[0.1277]	[0.1278]	[0.1274]
_Iage_26	-0.3281***	-0.3362***	-0.3397***
	[0.1228]	[0.1230]	[0.1225]
_Iage_27	-0.2965**	-0.3048***	-0.3083***
	[0.1179]	[0.1181]	[0.1176]
_Iage_28	-0.2632**	-0.2716**	-0.2755**
	[0.1132]	[0.1134]	[0.1129]
_Iage_29	-0.2340**	-0.2426**	-0.2452**
	[0.1084]	[0.1086]	[0.1081]
_Iage_30	-0.2074**	-0.2155**	-0.2186**
	[0.1038]	[0.1040]	[0.1036]
_Iage_31	-0.1822*	-0.1900*	-0.1928*
	[0.0992]	[0.0994]	[0.0989]
_Iage_32	-0.1623*	-0.1701*	-0.1728*
	[0.0948]	[0.0950]	[0.0945]
_Iage_33	-0.1427	-0.1505*	-0.1528*
	[0.0904]	[0.0907]	[0.0902]
_Iage_34	-0.1218	-0.1291	-0.1319
	[0.0861]	[0.0863]	[0.0858]
_Iage_35	-0.0921	-0.0988	-0.1007
	[0.0823]	[0.0826]	[0.0821]
_Iage_36	-0.0737	-0.0802	-0.0822
	[0.0784]	[0.0787]	[0.0782]
_Iage_37	-0.0522	-0.0569	-0.0585
	[0.0746]	[0.0750]	[0.0745]
_Iage_38	-0.0414	-0.0466	-0.0483
	[0.0712]	[0.0715]	[0.0710]
_Iage_39	-0.0438	-0.0479	-0.0495
	[0.0675]	[0.0679]	[0.0674]
_Iage_40	-0.0147	-0.0188	-0.0208
	[0.0648]	[0.0652]	[0.0647]
_Iage_41	-0.0171	-0.0207	-0.0222
	[0.0620]	[0.0624]	[0.0619]
_Iage_42	0.0230	0.0202	0.0191
	[0.0604]	[0.0608]	[0.0603]
_Iage_43	0.0033	0.0014	-0.0006
	[0.0585]	[0.0589]	[0.0583]
_Iage_44	0.0490	0.0463	0.0449
	[0.0582]	[0.0585]	[0.0580]
_Iage_45	0.0258	0.0237	0.0219
	[0.0564]	[0.0567]	[0.0562]
_Iage_46	0.0417	0.0401	0.0383
	[0.0575]	[0.0579]	[0.0573]
_Iage_47	0.0684	0.0686	0.0661
	[0.0558]	[0.0562]	[0.0556]
_Iage_48	0.0246	0.0222	0.0202
	[0.0610]	[0.0614]	[0.0608]
o._Iage_49	-	-	-
			
o._Iage_50	-	-	-
			
o._Iage_51	-	-	-
			
o._Iage_52	-	-	-
			
o._Iage_53	-	-	-
			
o._Iage_54	-	-	-
			
o._Iage_55	-	-	-
			
_Iyear_1980	0.1190	0.1423	0.1455
	[0.1362]	[0.1360]	[0.1356]
_Iyear_1981	0.0880	0.1115	0.1153
	[0.1274]	[0.1273]	[0.1269]
_Iyear_1982	0.0707	0.0935	0.0962
	[0.1213]	[0.1212]	[0.1209]
_Iyear_1983	0.0442	0.0662	0.0704
	[0.1156]	[0.1155]	[0.1152]
_Iyear_1984	0.0338	0.0529	0.0563
	[0.1100]	[0.1099]	[0.1097]
_Iyear_1985	0.0229	0.0420	0.0443
	[0.1044]	[0.1043]	[0.1040]
_Iyear_1986	0.0383	0.0567	0.0597
	[0.0990]	[0.0989]	[0.0986]
_Iyear_1987	0.0617	0.0773	0.0799
	[0.0936]	[0.0935]	[0.0933]
_Iyear_1988	0.0696	0.0854	0.0875
	[0.0880]	[0.0879]	[0.0877]
_Iyear_1989	0.0393	0.0535	0.0562
	[0.0826]	[0.0825]	[0.0823]
