	(1)	(2)	(3)
VARIABLES	ln_wage	ln_wage	ln_wage
			
routine	0.0066***		0.0133***
	[0.0009]		[0.0010]
afqt_routine	-0.0012		0.0020*
	[0.0009]		[0.0010]
socnlsy_routine	-0.0009		-0.0005
	[0.0009]		[0.0011]
afqt_socnlsy_routine	-0.0008		-0.0007
	[0.0009]		[0.0010]
o._Iage_15	-	-	-
			
o._Iage_16	-	-	-
			
o._Iage_17	-	-	-
			
o._Iage_18	-	-	-
			
o._Iage_19	-	-	-
			
o._Iage_20	-	-	-
			
o._Iage_21	-	-	-
			
o._Iage_22	-	-	-
			
o._Iage_23	-	-	-
			
o._Iage_24	-	-	-
			
_Iage_25	-0.3907***	-0.3982***	-0.4012***
	[0.1274]	[0.1275]	[0.1270]
_Iage_26	-0.3480***	-0.3554***	-0.3582***
	[0.1225]	[0.1226]	[0.1221]
_Iage_27	-0.3185***	-0.3261***	-0.3288***
	[0.1175]	[0.1177]	[0.1172]
_Iage_28	-0.2838**	-0.2916***	-0.2947***
	[0.1129]	[0.1130]	[0.1126]
_Iage_29	-0.2541**	-0.2620**	-0.2639**
	[0.1081]	[0.1083]	[0.1078]
_Iage_30	-0.2265**	-0.2338**	-0.2363**
	[0.1035]	[0.1037]	[0.1033]
_Iage_31	-0.2002**	-0.2074**	-0.2095**
	[0.0989]	[0.0991]	[0.0986]
_Iage_32	-0.1790*	-0.1861**	-0.1882**
	[0.0945]	[0.0947]	[0.0943]
_Iage_33	-0.1579*	-0.1650*	-0.1668*
	[0.0902]	[0.0904]	[0.0900]
_Iage_34	-0.1357	-0.1425*	-0.1446*
	[0.0858]	[0.0861]	[0.0856]
_Iage_35	-0.1051	-0.1113	-0.1126
	[0.0820]	[0.0823]	[0.0819]
_Iage_36	-0.0857	-0.0915	-0.0932
	[0.0782]	[0.0785]	[0.0780]
_Iage_37	-0.0615	-0.0660	-0.0671
	[0.0744]	[0.0747]	[0.0743]
_Iage_38	-0.0505	-0.0553	-0.0567
	[0.0710]	[0.0713]	[0.0709]
_Iage_39	-0.0515	-0.0554	-0.0566
	[0.0673]	[0.0677]	[0.0672]
_Iage_40	-0.0223	-0.0260	-0.0278
	[0.0647]	[0.0650]	[0.0645]
_Iage_41	-0.0230	-0.0264	-0.0275
	[0.0619]	[0.0622]	[0.0617]
_Iage_42	0.0172	0.0147	0.0137
	[0.0603]	[0.0607]	[0.0602]
_Iage_43	-0.0007	-0.0025	-0.0043
	[0.0583]	[0.0587]	[0.0582]
_Iage_44	0.0454	0.0430	0.0415
	[0.0580]	[0.0584]	[0.0579]
_Iage_45	0.0241	0.0220	0.0203
	[0.0562]	[0.0566]	[0.0561]
_Iage_46	0.0400	0.0386	0.0368
	[0.0574]	[0.0578]	[0.0572]
_Iage_47	0.0675	0.0674	0.0652
	[0.0556]	[0.0560]	[0.0555]
_Iage_48	0.0233	0.0212	0.0191
	[0.0609]	[0.0612]	[0.0607]
o._Iage_49	-	-	-
			
o._Iage_50	-	-	-
			
o._Iage_51	-	-	-
			
o._Iage_52	-	-	-
			
o._Iage_53	-	-	-
			
o._Iage_54	-	-	-
			
o._Iage_55	-	-	-
			
o._Iyear_1980	-	-	-
			
o._Iyear_1981	-	-	-
			
_Iyear_1982	0.0849	0.1102	0.1108
	[0.1255]	[0.1253]	[0.1250]
_Iyear_1983	0.0509	0.0724	0.0766
	[0.1159]	[0.1158]	[0.1155]
_Iyear_1984	0.0441	0.0624	0.0661
	[0.1100]	[0.1099]	[0.1096]
_Iyear_1985	0.0470	0.0652	0.0674
	[0.1042]	[0.1041]	[0.1038]
_Iyear_1986	0.0620	0.0795	0.0813
	[0.0987]	[0.0986]	[0.0984]
_Iyear_1987	0.0824	0.0969	0.0990
	[0.0933]	[0.0933]	[0.0930]
_Iyear_1988	0.0861	0.1012	0.1026
	[0.0877]	[0.0877]	[0.0875]
_Iyear_1989	0.0566	0.0702	0.0723
	[0.0823]	[0.0823]	[0.0821]
_Iyear_1990	0.0407	0.0534	0.0546
	[0.0769]	[0.0769]	[0.0767]
_Iyear_1991	0.0143	0.0260	0.0276
	[0.0716]	[0.0715]	[0.0713]
_Iyear_1992	-0.0042	0.0077	0.0098
