	(1)	(2)	(3)
VARIABLES	ln_wage	ln_wage	ln_wage
			
routine	0.0085***		0.0146***
	[0.0010]		[0.0012]
afqt_routine	-0.0021**		0.0016
	[0.0010]		[0.0012]
socnlsy_routine	-0.0017*		-0.0007
	[0.0010]		[0.0013]
afqt_socnlsy_routine	-0.0014		-0.0013
	[0.0010]		[0.0012]
o._Iage_15	-	-	-
			
o._Iage_16	-	-	-
			
o._Iage_17	-	-	-
			
o._Iage_18	-	-	-
			
o._Iage_19	-	-	-
			
o._Iage_20	-	-	-
			
o._Iage_21	-	-	-
			
o._Iage_22	-	-	-
			
_Iage_23	-0.6013***	-0.6172***	-0.6104***
	[0.1756]	[0.1757]	[0.1753]
_Iage_24	-0.5460***	-0.5623***	-0.5564***
	[0.1695]	[0.1696]	[0.1691]
_Iage_25	-0.4984***	-0.5138***	-0.5079***
	[0.1634]	[0.1635]	[0.1630]
_Iage_26	-0.4528***	-0.4672***	-0.4617***
	[0.1576]	[0.1577]	[0.1572]
_Iage_27	-0.4162***	-0.4308***	-0.4256***
	[0.1517]	[0.1518]	[0.1514]
_Iage_28	-0.3693**	-0.3839***	-0.3791***
	[0.1461]	[0.1463]	[0.1458]
_Iage_29	-0.3342**	-0.3485**	-0.3432**
	[0.1402]	[0.1404]	[0.1400]
_Iage_30	-0.3015**	-0.3152**	-0.3106**
	[0.1346]	[0.1349]	[0.1344]
_Iage_31	-0.2730**	-0.2854**	-0.2814**
	[0.1291]	[0.1294]	[0.1290]
_Iage_32	-0.2501**	-0.2622**	-0.2583**
	[0.1240]	[0.1242]	[0.1238]
_Iage_33	-0.2224*	-0.2343**	-0.2308*
	[0.1189]	[0.1192]	[0.1188]
_Iage_34	-0.1964*	-0.2078*	-0.2050*
	[0.1137]	[0.1141]	[0.1137]
_Iage_35	-0.1569	-0.1669	-0.1634
	[0.1094]	[0.1098]	[0.1094]
_Iage_36	-0.1291	-0.1394	-0.1365
	[0.1047]	[0.1052]	[0.1048]
_Iage_37	-0.1072	-0.1144	-0.1119
	[0.1005]	[0.1010]	[0.1005]
_Iage_38	-0.0854	-0.0935	-0.0908
	[0.0963]	[0.0968]	[0.0964]
_Iage_39	-0.0866	-0.0924	-0.0908
	[0.0922]	[0.0928]	[0.0923]
_Iage_40	-0.0437	-0.0505	-0.0485
	[0.0891]	[0.0897]	[0.0892]
_Iage_41	-0.0411	-0.0458	-0.0449
	[0.0860]	[0.0866]	[0.0861]
_Iage_42	-0.0002	-0.0043	-0.0018
	[0.0840]	[0.0846]	[0.0841]
_Iage_43	-0.0194	-0.0216	-0.0212
	[0.0819]	[0.0825]	[0.0820]
_Iage_44	0.0333	0.0295	0.0315
	[0.0817]	[0.0824]	[0.0818]
_Iage_45	0.0291	0.0273	0.0274
	[0.0806]	[0.0813]	[0.0808]
_Iage_46	0.0425	0.0415	0.0418
	[0.0807]	[0.0813]	[0.0807]
_Iage_47	0.0825	0.0833	0.0815
	[0.0806]	[0.0813]	[0.0808]
_Iage_48	0.0089	0.0066	0.0063
	[0.0847]	[0.0852]	[0.0846]
o._Iage_49	-	-	-
			
o._Iage_50	-	-	-
			
o._Iage_51	-	-	-
			
o._Iage_52	-	-	-
			
o._Iage_53	-	-	-
			
o._Iage_54	-	-	-
			
o._Iage_55	-	-	-
			
_Iyear_1980	0.2713	0.3031*	0.2997*
	[0.1658]	[0.1654]	[0.1650]
_Iyear_1981	0.2234	0.2560	0.2524
	[0.1563]	[0.1561]	[0.1557]
_Iyear_1982	0.1793	0.2123	0.2071
	[0.1491]	[0.1489]	[0.1486]
_Iyear_1983	0.1554	0.1882	0.1839
	[0.1420]	[0.1417]	[0.1414]
_Iyear_1984	0.1311	0.1601	0.1562
	[0.1351]	[0.1349]	[0.1346]
_Iyear_1985	0.1177	0.1457	0.1413
	[0.1281]	[0.1279]	[0.1276]
_Iyear_1986	0.1200	0.1473	0.1437
	[0.1217]	[0.1215]	[0.1212]
_Iyear_1987	0.1453	0.1686	0.1655
	[0.1150]	[0.1148]	[0.1145]
_Iyear_1988	0.1481	0.1711	0.1681
	[0.1080]	[0.1078]	[0.1076]
_Iyear_1989	0.1129	0.1333	0.1311
	[0.1013]	[0.1012]	[0.1009]
