	(1)	(2)	(3)
VARIABLES	ln_wage	ln_wage	ln_wage
			
routine	0.0079***		0.0140***
	[0.0011]		[0.0013]
afqt_routine	-0.0015		0.0019
	[0.0011]		[0.0013]
socnlsy_routine	-0.0009		-0.0002
	[0.0011]		[0.0014]
afqt_socnlsy_routine	-0.0013		-0.0013
	[0.0010]		[0.0012]
o._Iage_15	-	-	-
			
o._Iage_16	-	-	-
			
o._Iage_17	-	-	-
			
o._Iage_18	-	-	-
			
o._Iage_19	-	-	-
			
o._Iage_20	-	-	-
			
o._Iage_21	-	-	-
			
o._Iage_22	-	-	-
			
o._Iage_23	-	-	-
			
o._Iage_24	-	-	-
			
_Iage_25	-0.5213***	-0.5350***	-0.5290***
	[0.1630]	[0.1631]	[0.1627]
_Iage_26	-0.4773***	-0.4899***	-0.4844***
	[0.1572]	[0.1573]	[0.1569]
_Iage_27	-0.4430***	-0.4558***	-0.4504***
	[0.1513]	[0.1514]	[0.1510]
_Iage_28	-0.3940***	-0.4068***	-0.4018***
	[0.1458]	[0.1460]	[0.1455]
_Iage_29	-0.3582**	-0.3708***	-0.3652***
	[0.1399]	[0.1401]	[0.1397]
_Iage_30	-0.3246**	-0.3365**	-0.3318**
	[0.1344]	[0.1346]	[0.1342]
_Iage_31	-0.2949**	-0.3058**	-0.3015**
	[0.1289]	[0.1291]	[0.1288]
_Iage_32	-0.2703**	-0.2808**	-0.2767**
	[0.1237]	[0.1240]	[0.1236]
_Iage_33	-0.2411**	-0.2515**	-0.2478**
	[0.1187]	[0.1191]	[0.1187]
_Iage_34	-0.2138*	-0.2237**	-0.2207*
	[0.1136]	[0.1139]	[0.1135]
_Iage_35	-0.1737	-0.1824*	-0.1787
	[0.1092]	[0.1097]	[0.1092]
_Iage_36	-0.1446	-0.1534	-0.1504
	[0.1046]	[0.1051]	[0.1047]
_Iage_37	-0.1198	-0.1262	-0.1235
	[0.1003]	[0.1009]	[0.1005]
_Iage_38	-0.0989	-0.1057	-0.1031
	[0.0962]	[0.0968]	[0.0964]
_Iage_39	-0.0975	-0.1025	-0.1008
	[0.0921]	[0.0928]	[0.0923]
_Iage_40	-0.0553	-0.0611	-0.0592
	[0.0890]	[0.0897]	[0.0892]
_Iage_41	-0.0500	-0.0539	-0.0529
	[0.0859]	[0.0866]	[0.0861]
_Iage_42	-0.0103	-0.0136	-0.0112
	[0.0840]	[0.0847]	[0.0842]
_Iage_43	-0.0270	-0.0285	-0.0282
	[0.0819]	[0.0826]	[0.0820]
_Iage_44	0.0257	0.0229	0.0245
	[0.0818]	[0.0825]	[0.0819]
_Iage_45	0.0229	0.0215	0.0215
	[0.0806]	[0.0813]	[0.0808]
_Iage_46	0.0376	0.0372	0.0372
	[0.0806]	[0.0814]	[0.0808]
_Iage_47	0.0800	0.0808	0.0790
	[0.0805]	[0.0813]	[0.0808]
_Iage_48	0.0036	0.0019	0.0015
	[0.0846]	[0.0853]	[0.0847]
o._Iage_49	-	-	-
			
o._Iage_50	-	-	-
			
o._Iage_51	-	-	-
			
o._Iage_52	-	-	-
			
o._Iage_53	-	-	-
			
o._Iage_54	-	-	-
			
o._Iage_55	-	-	-
			
o._Iyear_1980	-	-	-
			
o._Iyear_1981	-	-	-
			
_Iyear_1982	0.1939	0.2261	0.2202
	[0.1544]	[0.1538]	[0.1537]
_Iyear_1983	0.1570	0.1890	0.1849
	[0.1423]	[0.1419]	[0.1416]
_Iyear_1984	0.1410	0.1689	0.1653
	[0.1348]	[0.1346]	[0.1343]
_Iyear_1985	0.1499	0.1755	0.1718
	[0.1276]	[0.1274]	[0.1271]
_Iyear_1986	0.1416	0.1672	0.1630
	[0.1211]	[0.1210]	[0.1207]
_Iyear_1987	0.1641	0.1855	0.1821
	[0.1145]	[0.1144]	[0.1141]
_Iyear_1988	0.1630	0.1848*	0.1811*
	[0.1076]	[0.1075]	[0.1072]
_Iyear_1989	0.1279	0.1472	0.1447
	[0.1009]	[0.1008]	[0.1006]
_Iyear_1990	0.1129	0.1306	0.1276
	[0.0943]	[0.0942]	[0.0940]
_Iyear_1991	0.0781	0.0950	0.0927
	[0.0877]	[0.0876]	[0.0874]
_Iyear_1992	0.0608	0.0772	0.0757
