	(1)	(2)	(3)
VARIABLES	delta_wage	delta_wage	delta_wage
			
socskills	7.4386	8.2630	
	[12.2067]	[12.0361]	
routine	-1.0997	-0.4054	
	[6.2386]	[6.5581]	
reason	4.3384	3.0557	5.5368
	[7.4276]	[7.7312]	[7.7085]
math	2.9190	-0.1077	0.1419
	[13.0159]	[13.7222]	[14.7922]
coord	-1.8611	-1.8985	3.4778
	[9.6717]	[9.7893]	[7.7314]
number_facility	3.3351	4.7694	4.7733
	[11.0033]	[11.3615]	[12.9351]
o._Iage_15		-	-
			
o._Iage_16		-	-
			
o._Iage_17		-	-
			
o._Iage_18		-	-
			
o._Iage_19		-	-
			
o._Iage_20		-	-
			
o._Iage_21		-	-
			
o._Iage_22		-	-
			
_Iage_23		-1,541.1536	-1,539.8072
		[1,183.8251]	[1,183.4718]
_Iage_24		-1,474.0302	-1,472.5904
		[1,135.6982]	[1,135.3854]
_Iage_25		-1,432.3307	-1,430.9434
		[1,084.6902]	[1,084.4214]
_Iage_26		-1,322.1155	-1,320.9166
		[1,036.1761]	[1,035.8069]
_Iage_27		-1,336.4223	-1,335.1264
		[986.2187]	[985.9176]
_Iage_28		-1,185.5913	-1,184.5406
		[939.0036]	[938.6909]
_Iage_29		-1,029.2180	-1,028.1878
		[891.6746]	[891.3813]
_Iage_30		-1,087.8743	-1,087.1225
		[842.6262]	[842.3196]
_Iage_31		-1,014.6750	-1,013.8726
		[794.9620]	[794.6742]
_Iage_32		-809.9612	-808.9491
		[745.5816]	[745.2929]
_Iage_33		-816.5062	-815.7171
		[702.9861]	[702.7100]
_Iage_34		-621.6070	-620.9166
		[670.2660]	[669.9076]
_Iage_35		-582.9162	-582.0654
		[629.6741]	[629.3966]
_Iage_36		-520.3449	-519.8710
		[564.6280]	[564.2680]
_Iage_37		-532.1815	-531.6823
		[530.9701]	[530.7226]
_Iage_38		-393.2067	-392.9492
		[486.3706]	[485.9937]
_Iage_39		-450.1680	-450.1882
		[451.7426]	[451.4298]
_Iage_40		-376.0829	-375.6810
		[403.7559]	[403.3714]
_Iage_41		-129.1568	-129.0347
		[315.0584]	[314.7021]
_Iage_42		-262.8786	-263.0506
		[347.1030]	[346.7336]
_Iage_43		-11.4206	-11.4414
		[332.2729]	[332.0842]
_Iage_44		-66.9776	-66.4291
		[333.9347]	[333.5952]
_Iage_45		-32.8751	-33.1730
		[293.1570]	[292.8271]
_Iage_46		-105.6582	-104.9512
		[302.8634]	[302.5713]
o._Iage_47		-	-
			
o._Iage_48		-	-
			
o._Iage_49		-	-
			
o._Iage_50		-	-
			
o._Iage_51		-	-
			
o._Iage_52		-	-
			
o._Iage_53		-	-
			
o._Iage_54		-	-
			
o._Iage_55		-	-
			
_Iyear_1980		1,261.4322	1,258.2232
		[1,166.5447]	[1,166.5240]
_Iyear_1981		1,255.7620	1,251.6032
		[1,112.3167]	[1,112.4669]
_Iyear_1982		1,255.0539	1,250.4124
		[1,063.9947]	[1,064.2170]
_Iyear_1983		1,221.8948	1,217.3898
		[1,013.8969]	[1,014.1277]
_Iyear_1984		1,184.7658	1,180.6758
		[963.6890]	[963.9674]
_Iyear_1985		1,100.2838	1,096.3950
		[913.6341]	[913.8533]
_Iyear_1986		1,106.1095	1,102.4963
		[863.6520]	[863.8301]
_Iyear_1987		1,092.8613	1,089.8805
		[814.3087]	[814.4247]
_Iyear_1988		1,027.2511	1,023.9965
		[762.5684]	[762.7190]
_Iyear_1989		929.7540	926.6140
		[711.2373]	[711.3612]
_Iyear_1990		997.9683	995.2440
		[667.7487]	[667.8148]
_Iyear_1991		747.1509	744.7398
		[615.9309]	[615.9987]
_Iyear_1992		750.1997	747.6123
		[562.0357]	[562.0681]
_Iyear_1993		533.1250	530.5186
		[504.5124]	[504.5757]
_Iyear_1994		450.7453	448.4055
		[453.6306]	[453.6911]
_Iyear_1996		278.2268	276.2498
		[352.2477]	[352.2468]
_Iyear_1998		138.9778	137.4901
		[235.9270]	[235.9174]
_Iyear_2000		120.8892	119.6691
		[131.9520]	[131.9239]
o._Iyear_2002		-	-
			
o._Iyear_2004		-	-
			
o._Iyear_2006		-	-
			
o._Iyear_2008		-	-
			
o._Iyear_2010		-	-
			
o._Iyear_2012		-	-
			
_Iarea_2		-91.9019	-91.8508
		[187.2664]	[187.2401]
_Iarea_3		-69.9117	-70.0341
		[213.6219]	[213.5811]
_Iarea_4		-184.5468	-185.1475
		[218.3973]	[218.3127]
_Imetro_1		-27.7034	-27.3413
		[30.3844]	[30.4467]
_Imetro_2		-124.3701***	-123.9649***
		[47.5795]	[47.4824]
_Imetro_3		-32.4413	-31.8652
		[62.9739]	[63.0129]
_Imetro_4		-89.0718	-88.8777
		[65.3813]	[65.2870]
_Iurban_1		11.3929	11.1915
		[27.4503]	[27.4405]
_Iurban_2		-0.6263	-1.2363
		[45.3357]	[45.4110]
o._Ieduc_1		-	-
			
o._Ieduc_3		-	-
			
o._Ieduc_4		-	-
			
o._Ieduc_5		-	-
			
o._Ieduc_6		-	-
			
o._Ieduc_7		-	-
			
o._Ieduc_8		-	-
			
o._Ieduc_9		-	-
			
o._Ieduc_10		-	-
			
o._Ieduc_11		-	-
			
o._Ieduc_12		-	-
			
o._Ieduc_13		-	-
			
o._Ieduc_14		-	-
			
o._Ieduc_15		-	-
			
o._Ieduc_16		-	-
			
o._Ieduc_17		-	-
			
o._Ieduc_18		-	-
			
o._Ieduc_19		-	-
			
o._Ieduc_20		-	-
			
socONETXroutine			-0.4782
			[1.1823]
			
Observations	98,145	94,328	94,328
R-squared	0.0001	0.0009	0.0009
Number of uniqueID	11,000	10,879	10,879
Robust standard errors in brackets			
*** p<0.01, ** p<0.05, * p<0.10			
